gauntlet: agent@engine vs agent@checkpoints/clockcap | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   3fold=1 (100%)   152s      mean=0.500 LLR=+0.00 [CONTINUE]
  41 games  +11 =16 -14   -25 Elo +/- 85   3fold=12 (29%)   566s      mean=0.463 LLR=-0.13 [CONTINUE]
  42 games  +11 =16 -15   -33 Elo +/- 84   3fold=12 (29%)   566s      mean=0.452 LLR=-0.17 [CONTINUE]
  43 games  +11 =17 -15   -32 Elo +/- 82   3fold=13 (30%)   573s      mean=0.453 LLR=-0.17 [CONTINUE]
  44 games  +12 =17 -15   -24 Elo +/- 82   3fold=13 (30%)   596s      mean=0.466 LLR=-0.13 [CONTINUE]
  45 games  +12 =17 -16   -31 Elo +/- 82   3fold=13 (29%)   601s      mean=0.456 LLR=-0.17 [CONTINUE]
  46 games  +13 =17 -16   -23 Elo +/- 81   3fold=13 (28%)   603s      mean=0.467 LLR=-0.13 [CONTINUE]
  47 games  +13 =17 -17   -30 Elo +/- 81   3fold=13 (28%)   628s      mean=0.457 LLR=-0.17 [CONTINUE]
  48 games  +13 =17 -18   -36 Elo +/- 81   3fold=13 (27%)   631s      mean=0.448 LLR=-0.20 [CONTINUE]
  49 games  +13 =17 -19   -43 Elo +/- 80   3fold=13 (27%)   649s      mean=0.439 LLR=-0.24 [CONTINUE]
  50 games  +13 =18 -19   -42 Elo +/- 79   3fold=14 (28%)   659s      mean=0.440 LLR=-0.24 [CONTINUE]
  51 games  +14 =18 -19   -34 Elo +/- 78   3fold=14 (27%)   660s      mean=0.451 LLR=-0.20 [CONTINUE]
  52 games  +14 =19 -19   -34 Elo +/- 77   3fold=15 (29%)   678s      mean=0.452 LLR=-0.21 [CONTINUE]
  53 games  +14 =19 -20   -40 Elo +/- 76   3fold=15 (28%)   688s      mean=0.443 LLR=-0.24 [CONTINUE]
  54 games  +14 =19 -21   -45 Elo +/- 76   3fold=15 (28%)   690s      mean=0.435 LLR=-0.28 [CONTINUE]
  55 games  +15 =19 -21   -38 Elo +/- 76   3fold=15 (27%)   714s      mean=0.445 LLR=-0.24 [CONTINUE]
  56 games  +15 =19 -22   -44 Elo +/- 75   3fold=15 (27%)   719s      mean=0.438 LLR=-0.27 [CONTINUE]
  57 games  +15 =20 -22   -43 Elo +/- 74   3fold=16 (28%)   721s      mean=0.439 LLR=-0.28 [CONTINUE]
  58 games  +15 =21 -22   -42 Elo +/- 73   3fold=17 (29%)   745s      mean=0.440 LLR=-0.28 [CONTINUE]
  59 games  +15 =22 -22   -41 Elo +/- 71   3fold=18 (31%)   749s      mean=0.441 LLR=-0.29 [CONTINUE]
  60 games  +15 =22 -23   -47 Elo +/- 71   3fold=18 (30%)   750s      mean=0.433 LLR=-0.33 [CONTINUE]
  61 games  +15 =22 -24   -52 Elo +/- 71   3fold=18 (30%)   775s      mean=0.426 LLR=-0.36 [CONTINUE]
  62 games  +15 =22 -25   -57 Elo +/- 71   3fold=18 (29%)   781s      mean=0.419 LLR=-0.40 [CONTINUE]
  63 games  +16 =22 -25   -50 Elo +/- 71   3fold=18 (29%)   785s      mean=0.429 LLR=-0.36 [CONTINUE]
  64 games  +17 =22 -25   -44 Elo +/- 70   3fold=18 (28%)   807s      mean=0.438 LLR=-0.31 [CONTINUE]
  65 games  +17 =23 -25   -43 Elo +/- 69   3fold=19 (29%)   809s      mean=0.438 LLR=-0.32 [CONTINUE]
  66 games  +17 =23 -26   -48 Elo +/- 69   3fold=19 (29%)   814s      mean=0.432 LLR=-0.35 [CONTINUE]
  67 games  +18 =23 -26   -42 Elo +/- 69   3fold=19 (28%)   839s      mean=0.440 LLR=-0.31 [CONTINUE]
  68 games  +18 =23 -27   -46 Elo +/- 68   3fold=19 (28%)   839s      mean=0.434 LLR=-0.35 [CONTINUE]
  69 games  +19 =23 -27   -40 Elo +/- 68   3fold=19 (28%)   843s      mean=0.442 LLR=-0.31 [CONTINUE]
  70 games  +19 =24 -27   -40 Elo +/- 67   3fold=20 (29%)   867s      mean=0.443 LLR=-0.31 [CONTINUE]
  71 games  +19 =24 -28   -44 Elo +/- 67   3fold=20 (28%)   872s      mean=0.437 LLR=-0.35 [CONTINUE]
  72 games  +19 =24 -29   -49 Elo +/- 67   3fold=20 (28%)   875s      mean=0.431 LLR=-0.39 [CONTINUE]
  73 games  +19 =25 -29   -48 Elo +/- 66   3fold=21 (29%)   892s      mean=0.432 LLR=-0.39 [CONTINUE]
  74 games  +19 =25 -30   -52 Elo +/- 66   3fold=21 (28%)   901s      mean=0.426 LLR=-0.43 [CONTINUE]
  75 games  +20 =25 -30   -47 Elo +/- 65   3fold=21 (28%)   904s      mean=0.433 LLR=-0.39 [CONTINUE]
  76 games  +21 =25 -30   -41 Elo +/- 65   3fold=21 (28%)   930s      mean=0.441 LLR=-0.35 [CONTINUE]
  77 games  +21 =25 -31   -45 Elo +/- 65   3fold=21 (27%)   933s      mean=0.435 LLR=-0.38 [CONTINUE]
  78 games  +21 =25 -32   -49 Elo +/- 65   3fold=21 (27%)   937s      mean=0.429 LLR=-0.42 [CONTINUE]
  79 games  +21 =26 -32   -49 Elo +/- 64   3fold=22 (28%)   958s      mean=0.430 LLR=-0.42 [CONTINUE]
  80 games  +21 =26 -33   -53 Elo +/- 64   3fold=22 (28%)   958s      mean=0.425 LLR=-0.46 [CONTINUE]
  81 games  +21 =27 -33   -52 Elo +/- 63   3fold=23 (28%)   963s      mean=0.426 LLR=-0.46 [CONTINUE]
  82 games  +21 =27 -34   -56 Elo +/- 63   3fold=23 (28%)   985s      mean=0.421 LLR=-0.50 [CONTINUE]
  83 games  +21 =27 -35   -59 Elo +/- 63   3fold=23 (28%)   985s      mean=0.416 LLR=-0.53 [CONTINUE]
  84 games  +21 =28 -35   -58 Elo +/- 62   3fold=23 (27%)   994s      mean=0.417 LLR=-0.54 [CONTINUE]
  85 games  +21 =28 -36   -62 Elo +/- 62   3fold=23 (27%)   1010s      mean=0.412 LLR=-0.58 [CONTINUE]
  86 games  +21 =28 -37   -65 Elo +/- 62   3fold=23 (27%)   1014s      mean=0.407 LLR=-0.61 [CONTINUE]
  87 games  +21 =29 -37   -65 Elo +/- 61   3fold=23 (26%)   1021s      mean=0.408 LLR=-0.62 [CONTINUE]
  88 games  +21 =30 -37   -64 Elo +/- 60   3fold=24 (27%)   1039s      mean=0.409 LLR=-0.63 [CONTINUE]
  89 games  +21 =30 -38   -67 Elo +/- 60   3fold=24 (27%)   1046s      mean=0.404 LLR=-0.66 [CONTINUE]
  90 games  +21 =30 -39   -70 Elo +/- 60   3fold=24 (27%)   1055s      mean=0.400 LLR=-0.70 [CONTINUE]
  91 games  +21 =31 -39   -70 Elo +/- 59   3fold=25 (27%)   1073s      mean=0.401 LLR=-0.71 [CONTINUE]
  92 games  +22 =31 -39   -65 Elo +/- 59   3fold=25 (27%)   1074s      mean=0.408 LLR=-0.66 [CONTINUE]
  93 games  +23 =31 -39   -60 Elo +/- 59   3fold=25 (27%)   1091s      mean=0.414 LLR=-0.62 [CONTINUE]
  94 games  +23 =31 -40   -64 Elo +/- 59   3fold=25 (27%)   1103s      mean=0.410 LLR=-0.65 [CONTINUE]
  95 games  +23 =32 -40   -63 Elo +/- 58   3fold=26 (27%)   1105s      mean=0.411 LLR=-0.66 [CONTINUE]
  96 games  +23 =32 -41   -66 Elo +/- 58   3fold=26 (27%)   1131s      mean=0.406 LLR=-0.70 [CONTINUE]
  97 games  +23 =33 -41   -65 Elo +/- 57   3fold=27 (28%)   1135s      mean=0.407 LLR=-0.70 [CONTINUE]
  98 games  +23 =34 -41   -65 Elo +/- 57   3fold=28 (29%)   1139s      mean=0.408 LLR=-0.71 [CONTINUE]
  99 games  +23 =34 -42   -68 Elo +/- 56   3fold=28 (28%)   1160s      mean=0.404 LLR=-0.75 [CONTINUE]
 100 games  +23 =35 -42   -67 Elo +/- 56   3fold=29 (29%)   1164s      mean=0.405 LLR=-0.76 [CONTINUE]
 101 games  +24 =35 -42   -63 Elo +/- 56   3fold=29 (29%)   1175s      mean=0.411 LLR=-0.71 [CONTINUE]
 102 games  +24 =36 -42   -62 Elo +/- 55   3fold=30 (29%)   1194s      mean=0.412 LLR=-0.72 [CONTINUE]
 103 games  +24 =36 -43   -65 Elo +/- 55   3fold=30 (29%)   1202s      mean=0.408 LLR=-0.75 [CONTINUE]
 104 games  +24 =36 -44   -68 Elo +/- 55   3fold=30 (29%)   1206s      mean=0.404 LLR=-0.79 [CONTINUE]
 105 games  +25 =36 -44   -64 Elo +/- 55   3fold=30 (29%)   1225s      mean=0.410 LLR=-0.75 [CONTINUE]
 106 games  +25 =37 -44   -63 Elo +/- 54   3fold=31 (29%)   1229s      mean=0.410 LLR=-0.75 [CONTINUE]
 107 games  +25 =38 -44   -62 Elo +/- 54   3fold=31 (29%)   1240s      mean=0.411 LLR=-0.76 [CONTINUE]
 108 games  +25 =39 -44   -62 Elo +/- 53   3fold=32 (30%)   1253s      mean=0.412 LLR=-0.77 [CONTINUE]
 109 games  +25 =39 -45   -64 Elo +/- 53   3fold=32 (29%)   1265s      mean=0.408 LLR=-0.80 [CONTINUE]
 110 games  +26 =39 -45   -61 Elo +/- 53   3fold=32 (29%)   1271s      mean=0.414 LLR=-0.76 [CONTINUE]
 111 games  +26 =40 -45   -60 Elo +/- 52   3fold=33 (30%)   1277s      mean=0.414 LLR=-0.76 [CONTINUE]
 112 games  +26 =41 -45   -60 Elo +/- 52   3fold=34 (30%)   1302s      mean=0.415 LLR=-0.77 [CONTINUE]
 113 games  +27 =41 -45   -56 Elo +/- 52   3fold=34 (30%)   1303s      mean=0.420 LLR=-0.73 [CONTINUE]
 114 games  +27 =41 -46   -58 Elo +/- 52   3fold=34 (30%)   1303s      mean=0.417 LLR=-0.76 [CONTINUE]
 115 games  +28 =41 -46   -55 Elo +/- 52   3fold=34 (30%)   1336s      mean=0.422 LLR=-0.72 [CONTINUE]
 116 games  +28 =42 -46   -54 Elo +/- 51   3fold=35 (30%)   1336s      mean=0.422 LLR=-0.73 [CONTINUE]
 117 games  +29 =42 -46   -51 Elo +/- 51   3fold=35 (30%)   1337s      mean=0.427 LLR=-0.68 [CONTINUE]
 118 games  +29 =42 -47   -53 Elo +/- 51   3fold=35 (30%)   1367s      mean=0.424 LLR=-0.72 [CONTINUE]
 119 games  +29 =42 -48   -56 Elo +/- 51   3fold=35 (29%)   1368s      mean=0.420 LLR=-0.75 [CONTINUE]
 120 games  +29 =43 -48   -55 Elo +/- 50   3fold=35 (29%)   1378s      mean=0.421 LLR=-0.76 [CONTINUE]
 121 games  +29 =43 -49   -58 Elo +/- 50   3fold=35 (29%)   1396s      mean=0.417 LLR=-0.80 [CONTINUE]
 122 games  +29 =43 -50   -60 Elo +/- 50   3fold=35 (29%)   1400s      mean=0.414 LLR=-0.83 [CONTINUE]
 123 games  +29 =43 -51   -63 Elo +/- 50   3fold=35 (28%)   1409s      mean=0.411 LLR=-0.87 [CONTINUE]
 124 games  +30 =43 -51   -59 Elo +/- 50   3fold=35 (28%)   1433s      mean=0.415 LLR=-0.83 [CONTINUE]
 125 games  +30 =43 -52   -62 Elo +/- 50   3fold=35 (28%)   1437s      mean=0.412 LLR=-0.86 [CONTINUE]
 126 games  +30 =44 -52   -61 Elo +/- 50   3fold=36 (29%)   1449s      mean=0.413 LLR=-0.87 [CONTINUE]
 127 games  +30 =44 -53   -64 Elo +/- 50   3fold=36 (28%)   1459s      mean=0.409 LLR=-0.91 [CONTINUE]
 128 games  +30 =45 -53   -63 Elo +/- 49   3fold=37 (29%)   1466s      mean=0.410 LLR=-0.91 [CONTINUE]
 129 games  +30 =45 -54   -65 Elo +/- 49   3fold=37 (29%)   1479s      mean=0.407 LLR=-0.95 [CONTINUE]
 130 games  +30 =46 -54   -65 Elo +/- 49   3fold=38 (29%)   1491s      mean=0.408 LLR=-0.96 [CONTINUE]
 131 games  +30 =47 -54   -64 Elo +/- 48   3fold=39 (30%)   1492s      mean=0.408 LLR=-0.97 [CONTINUE]
 132 games  +30 =48 -54   -64 Elo +/- 48   3fold=40 (30%)   1510s      mean=0.409 LLR=-0.97 [CONTINUE]
 133 games  +30 =49 -54   -63 Elo +/- 48   3fold=41 (31%)   1517s      mean=0.410 LLR=-0.98 [CONTINUE]
 134 games  +30 =49 -55   -66 Elo +/- 48   3fold=41 (31%)   1519s      mean=0.407 LLR=-1.02 [CONTINUE]
 135 games  +31 =49 -55   -62 Elo +/- 47   3fold=41 (30%)   1542s      mean=0.411 LLR=-0.97 [CONTINUE]
 136 games  +31 =50 -55   -62 Elo +/- 47   3fold=42 (31%)   1543s      mean=0.412 LLR=-0.98 [CONTINUE]
 137 games  +32 =50 -55   -59 Elo +/- 47   3fold=42 (31%)   1549s      mean=0.416 LLR=-0.93 [CONTINUE]
 138 games  +33 =50 -55   -56 Elo +/- 47   3fold=42 (30%)   1571s      mean=0.420 LLR=-0.89 [CONTINUE]
 139 games  +34 =50 -55   -53 Elo +/- 47   3fold=42 (30%)   1574s      mean=0.424 LLR=-0.84 [CONTINUE]
 140 games  +34 =51 -55   -53 Elo +/- 46   3fold=43 (31%)   1574s      mean=0.425 LLR=-0.85 [CONTINUE]
 141 games  +34 =52 -55   -52 Elo +/- 46   3fold=44 (31%)   1604s      mean=0.426 LLR=-0.86 [CONTINUE]
 142 games  +34 =52 -56   -54 Elo +/- 46   3fold=44 (31%)   1606s      mean=0.423 LLR=-0.89 [CONTINUE]
 143 games  +34 =53 -56   -54 Elo +/- 46   3fold=45 (31%)   1609s      mean=0.423 LLR=-0.90 [CONTINUE]
 144 games  +34 =54 -56   -53 Elo +/- 45   3fold=46 (32%)   1627s      mean=0.424 LLR=-0.91 [CONTINUE]
 145 games  +35 =54 -56   -51 Elo +/- 45   3fold=46 (32%)   1633s      mean=0.428 LLR=-0.86 [CONTINUE]
 146 games  +36 =54 -56   -48 Elo +/- 45   3fold=46 (32%)   1642s      mean=0.432 LLR=-0.82 [CONTINUE]
 147 games  +36 =54 -57   -50 Elo +/- 45   3fold=46 (31%)   1656s      mean=0.429 LLR=-0.85 [CONTINUE]
 148 games  +36 =54 -58   -52 Elo +/- 45   3fold=46 (31%)   1666s      mean=0.426 LLR=-0.89 [CONTINUE]
 149 games  +37 =54 -58   -49 Elo +/- 45   3fold=46 (31%)   1675s      mean=0.430 LLR=-0.85 [CONTINUE]
 150 games  +38 =54 -58   -47 Elo +/- 45   3fold=46 (31%)   1683s      mean=0.433 LLR=-0.80 [CONTINUE]
 151 games  +38 =54 -59   -49 Elo +/- 45   3fold=46 (30%)   1689s      mean=0.430 LLR=-0.84 [CONTINUE]
 152 games  +38 =54 -60   -51 Elo +/- 45   3fold=46 (30%)   1707s      mean=0.428 LLR=-0.88 [CONTINUE]
 153 games  +38 =54 -61   -53 Elo +/- 45   3fold=46 (30%)   1712s      mean=0.425 LLR=-0.91 [CONTINUE]
 154 games  +39 =54 -61   -50 Elo +/- 45   3fold=46 (30%)   1716s      mean=0.429 LLR=-0.87 [CONTINUE]
*** ANOMALY ***  crash:agent died as black (1-0) -- caused by agent@engine
 155 games  +39 =54 -62   -52 Elo +/- 45   3fold=46 (30%)   1734s   ANOMALIES: 1   mean=0.426 LLR=-0.91 [CONTINUE]
