gauntlet: agent@engine vs agent@checkpoints/item5 | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   3fold=1 (100%)   133s      mean=0.500 LLR=+0.00 [CONTINUE]
  16 games  +3 =8 -5   -44 Elo +/- 126   3fold=5 (31%)   291s      mean=0.438 LLR=-0.10 [CONTINUE]
  17 games  +3 =8 -6   -62 Elo +/- 126   3fold=5 (29%)   298s      mean=0.412 LLR=-0.15 [CONTINUE]
  18 games  +3 =9 -6   -58 Elo +/- 118   3fold=6 (33%)   306s      mean=0.417 LLR=-0.16 [CONTINUE]
  19 games  +3 =9 -7   -74 Elo +/- 118   3fold=6 (32%)   331s      mean=0.395 LLR=-0.20 [CONTINUE]
  20 games  +3 =9 -8   -89 Elo +/- 119   3fold=6 (30%)   333s      mean=0.375 LLR=-0.25 [CONTINUE]
  21 games  +4 =9 -8   -67 Elo +/- 118   3fold=6 (29%)   337s      mean=0.405 LLR=-0.18 [CONTINUE]
  22 games  +5 =9 -8   -48 Elo +/- 116   3fold=6 (27%)   362s      mean=0.432 LLR=-0.13 [CONTINUE]
  23 games  +6 =9 -8   -30 Elo +/- 115   3fold=6 (26%)   367s      mean=0.457 LLR=-0.09 [CONTINUE]
  24 games  +6 =9 -9   -44 Elo +/- 114   3fold=6 (25%)   370s      mean=0.438 LLR=-0.12 [CONTINUE]
  25 games  +6 =9 -10   -56 Elo +/- 114   3fold=6 (24%)   394s      mean=0.420 LLR=-0.16 [CONTINUE]
  26 games  +6 =10 -10   -54 Elo +/- 109   3fold=6 (23%)   399s      mean=0.423 LLR=-0.17 [CONTINUE]
  27 games  +7 =10 -10   -39 Elo +/- 108   3fold=6 (22%)   405s      mean=0.444 LLR=-0.12 [CONTINUE]
  28 games  +7 =11 -10   -37 Elo +/- 104   3fold=6 (21%)   427s      mean=0.446 LLR=-0.13 [CONTINUE]
  29 games  +7 =12 -10   -36 Elo +/- 100   3fold=7 (24%)   433s      mean=0.448 LLR=-0.13 [CONTINUE]
  30 games  +8 =12 -10   -23 Elo +/- 99   3fold=7 (23%)   437s      mean=0.467 LLR=-0.09 [CONTINUE]
  31 games  +8 =13 -10   -22 Elo +/- 96   3fold=8 (26%)   456s      mean=0.468 LLR=-0.09 [CONTINUE]
  32 games  +8 =13 -11   -33 Elo +/- 95   3fold=8 (25%)   466s      mean=0.453 LLR=-0.13 [CONTINUE]
  33 games  +8 =13 -12   -42 Elo +/- 95   3fold=8 (24%)   467s      mean=0.439 LLR=-0.17 [CONTINUE]
  34 games  +9 =13 -12   -31 Elo +/- 94   3fold=8 (24%)   487s      mean=0.456 LLR=-0.13 [CONTINUE]
  35 games  +9 =13 -13   -40 Elo +/- 94   3fold=8 (23%)   497s      mean=0.443 LLR=-0.16 [CONTINUE]
  36 games  +10 =13 -13   -29 Elo +/- 93   3fold=8 (22%)   506s      mean=0.458 LLR=-0.12 [CONTINUE]
  37 games  +11 =13 -13   -19 Elo +/- 92   3fold=8 (22%)   519s      mean=0.473 LLR=-0.09 [CONTINUE]
  38 games  +11 =13 -14   -27 Elo +/- 92   3fold=8 (21%)   526s      mean=0.461 LLR=-0.12 [CONTINUE]
  39 games  +11 =14 -14   -27 Elo +/- 89   3fold=9 (23%)   534s      mean=0.462 LLR=-0.13 [CONTINUE]
  40 games  +11 =14 -15   -35 Elo +/- 89   3fold=9 (22%)   558s      mean=0.450 LLR=-0.16 [CONTINUE]
  41 games  +11 =15 -15   -34 Elo +/- 87   3fold=10 (24%)   560s      mean=0.451 LLR=-0.16 [CONTINUE]
  42 games  +11 =15 -16   -42 Elo +/- 86   3fold=10 (24%)   566s      mean=0.440 LLR=-0.20 [CONTINUE]
  43 games  +12 =15 -16   -32 Elo +/- 86   3fold=10 (23%)   589s      mean=0.453 LLR=-0.16 [CONTINUE]
  44 games  +12 =16 -16   -32 Elo +/- 84   3fold=11 (25%)   590s      mean=0.455 LLR=-0.17 [CONTINUE]
  45 games  +13 =16 -16   -23 Elo +/- 83   3fold=11 (24%)   594s      mean=0.467 LLR=-0.13 [CONTINUE]
  46 games  +13 =17 -16   -23 Elo +/- 81   3fold=12 (26%)   614s      mean=0.467 LLR=-0.13 [CONTINUE]
  47 games  +13 =18 -16   -22 Elo +/- 79   3fold=12 (26%)   619s      mean=0.468 LLR=-0.13 [CONTINUE]
  48 games  +13 =19 -16   -22 Elo +/- 78   3fold=13 (27%)   619s      mean=0.469 LLR=-0.14 [CONTINUE]
  49 games  +13 =19 -17   -28 Elo +/- 77   3fold=13 (27%)   643s      mean=0.459 LLR=-0.17 [CONTINUE]
  50 games  +14 =19 -17   -21 Elo +/- 77   3fold=13 (26%)   651s      mean=0.470 LLR=-0.13 [CONTINUE]
  51 games  +14 =20 -17   -20 Elo +/- 76   3fold=14 (27%)   654s      mean=0.471 LLR=-0.14 [CONTINUE]
  52 games  +14 =21 -17   -20 Elo +/- 74   3fold=15 (29%)   666s      mean=0.471 LLR=-0.14 [CONTINUE]
  53 games  +14 =21 -18   -26 Elo +/- 74   3fold=15 (28%)   683s      mean=0.462 LLR=-0.18 [CONTINUE]
  54 games  +15 =21 -18   -19 Elo +/- 74   3fold=15 (28%)   685s      mean=0.472 LLR=-0.14 [CONTINUE]
  55 games  +15 =21 -19   -25 Elo +/- 73   3fold=15 (27%)   702s      mean=0.464 LLR=-0.17 [CONTINUE]
  56 games  +16 =21 -19   -19 Elo +/- 73   3fold=15 (27%)   715s      mean=0.473 LLR=-0.13 [CONTINUE]
  57 games  +17 =21 -19   -12 Elo +/- 73   3fold=15 (26%)   718s      mean=0.482 LLR=-0.10 [CONTINUE]
  58 games  +17 =21 -20   -18 Elo +/- 73   3fold=15 (26%)   728s      mean=0.474 LLR=-0.13 [CONTINUE]
  59 games  +17 =22 -20   -18 Elo +/- 71   3fold=16 (27%)   743s      mean=0.475 LLR=-0.14 [CONTINUE]
  60 games  +17 =23 -20   -17 Elo +/- 70   3fold=17 (28%)   752s      mean=0.475 LLR=-0.14 [CONTINUE]
  61 games  +17 =24 -20   -17 Elo +/- 69   3fold=18 (30%)   760s      mean=0.475 LLR=-0.14 [CONTINUE]
  62 games  +17 =25 -20   -17 Elo +/- 68   3fold=19 (31%)   780s      mean=0.476 LLR=-0.14 [CONTINUE]
  63 games  +18 =25 -20   -11 Elo +/- 67   3fold=19 (30%)   781s      mean=0.484 LLR=-0.10 [CONTINUE]
  64 games  +19 =25 -20   -5 Elo +/- 67   3fold=19 (30%)   795s      mean=0.492 LLR=-0.07 [CONTINUE]
  65 games  +19 =26 -20   -5 Elo +/- 66   3fold=20 (31%)   812s      mean=0.492 LLR=-0.07 [CONTINUE]
  66 games  +19 =26 -21   -11 Elo +/- 66   3fold=20 (30%)   813s      mean=0.485 LLR=-0.10 [CONTINUE]
  67 games  +19 =27 -21   -10 Elo +/- 65   3fold=20 (30%)   829s      mean=0.485 LLR=-0.11 [CONTINUE]
  68 games  +20 =27 -21   -5 Elo +/- 65   3fold=20 (29%)   845s      mean=0.493 LLR=-0.07 [CONTINUE]
  69 games  +20 =28 -21   -5 Elo +/- 64   3fold=21 (30%)   858s      mean=0.493 LLR=-0.07 [CONTINUE]
  70 games  +20 =28 -22   -10 Elo +/- 64   3fold=21 (30%)   860s      mean=0.486 LLR=-0.11 [CONTINUE]
  71 games  +20 =28 -23   -15 Elo +/- 64   3fold=21 (30%)   878s      mean=0.479 LLR=-0.15 [CONTINUE]
  72 games  +20 =29 -23   -14 Elo +/- 63   3fold=22 (31%)   886s      mean=0.479 LLR=-0.15 [CONTINUE]
  73 games  +21 =29 -23   -10 Elo +/- 63   3fold=22 (30%)   890s      mean=0.486 LLR=-0.11 [CONTINUE]
  74 games  +22 =29 -23   -5 Elo +/- 62   3fold=22 (30%)   910s      mean=0.493 LLR=-0.07 [CONTINUE]
  75 games  +23 =29 -23   -0 Elo +/- 62   3fold=22 (29%)   924s      mean=0.500 LLR=-0.03 [CONTINUE]
  76 games  +23 =30 -23   -0 Elo +/- 61   3fold=23 (30%)   924s      mean=0.500 LLR=-0.03 [CONTINUE]
  77 games  +23 =31 -23   -0 Elo +/- 61   3fold=24 (31%)   936s      mean=0.500 LLR=-0.03 [CONTINUE]
  78 games  +23 =32 -23   -0 Elo +/- 60   3fold=24 (31%)   954s      mean=0.500 LLR=-0.04 [CONTINUE]
  79 games  +24 =32 -23   +4 Elo +/- 60   3fold=24 (30%)   954s      mean=0.506 LLR=+0.00 [CONTINUE]
  80 games  +25 =32 -23   +9 Elo +/- 60   3fold=24 (30%)   963s      mean=0.512 LLR=+0.04 [CONTINUE]
  81 games  +25 =33 -23   +9 Elo +/- 59   3fold=25 (31%)   977s      mean=0.512 LLR=+0.04 [CONTINUE]
  82 games  +26 =33 -23   +13 Elo +/- 59   3fold=25 (30%)   986s      mean=0.518 LLR=+0.08 [CONTINUE]
  83 games  +27 =33 -23   +17 Elo +/- 59   3fold=25 (30%)   987s      mean=0.524 LLR=+0.12 [CONTINUE]
  84 games  +27 =33 -24   +12 Elo +/- 58   3fold=25 (30%)   1004s      mean=0.518 LLR=+0.08 [CONTINUE]
  85 games  +27 =34 -24   +12 Elo +/- 58   3fold=26 (31%)   1018s      mean=0.518 LLR=+0.08 [CONTINUE]
  86 games  +28 =34 -24   +16 Elo +/- 58   3fold=26 (30%)   1019s      mean=0.523 LLR=+0.12 [CONTINUE]
  87 games  +28 =34 -25   +12 Elo +/- 58   3fold=26 (30%)   1037s      mean=0.517 LLR=+0.08 [CONTINUE]
  88 games  +29 =34 -25   +16 Elo +/- 57   3fold=26 (30%)   1047s      mean=0.523 LLR=+0.11 [CONTINUE]
  89 games  +30 =34 -25   +20 Elo +/- 57   3fold=26 (29%)   1051s      mean=0.528 LLR=+0.15 [CONTINUE]
  90 games  +30 =34 -26   +15 Elo +/- 57   3fold=26 (29%)   1070s      mean=0.522 LLR=+0.11 [CONTINUE]
  91 games  +31 =34 -26   +19 Elo +/- 57   3fold=26 (29%)   1084s      mean=0.527 LLR=+0.15 [CONTINUE]
  92 games  +32 =34 -26   +23 Elo +/- 57   3fold=26 (28%)   1087s      mean=0.533 LLR=+0.18 [CONTINUE]
  93 games  +33 =34 -26   +26 Elo +/- 57   3fold=26 (28%)   1102s      mean=0.538 LLR=+0.22 [CONTINUE]
  94 games  +34 =34 -26   +30 Elo +/- 57   3fold=26 (28%)   1110s      mean=0.543 LLR=+0.25 [CONTINUE]
  95 games  +34 =35 -26   +29 Elo +/- 56   3fold=27 (28%)   1113s      mean=0.542 LLR=+0.25 [CONTINUE]
  96 games  +34 =36 -26   +29 Elo +/- 55   3fold=28 (29%)   1132s      mean=0.542 LLR=+0.26 [CONTINUE]
  97 games  +34 =37 -26   +29 Elo +/- 55   3fold=29 (30%)   1136s      mean=0.541 LLR=+0.26 [CONTINUE]
  98 games  +34 =38 -26   +28 Elo +/- 54   3fold=29 (30%)   1146s      mean=0.541 LLR=+0.26 [CONTINUE]
  99 games  +34 =38 -27   +25 Elo +/- 54   3fold=29 (29%)   1172s      mean=0.535 LLR=+0.22 [CONTINUE]
 100 games  +34 =39 -27   +24 Elo +/- 54   3fold=30 (30%)   1176s      mean=0.535 LLR=+0.22 [CONTINUE]
 101 games  +34 =39 -28   +21 Elo +/- 54   3fold=30 (30%)   1178s      mean=0.530 LLR=+0.18 [CONTINUE]
 102 games  +35 =39 -28   +24 Elo +/- 53   3fold=30 (29%)   1211s      mean=0.534 LLR=+0.22 [CONTINUE]
 103 games  +35 =40 -28   +24 Elo +/- 53   3fold=31 (30%)   1211s      mean=0.534 LLR=+0.22 [CONTINUE]
 104 games  +35 =41 -28   +23 Elo +/- 52   3fold=31 (30%)   1214s      mean=0.534 LLR=+0.22 [CONTINUE]
 105 games  +35 =42 -28   +23 Elo +/- 52   3fold=32 (30%)   1242s      mean=0.533 LLR=+0.22 [CONTINUE]
 106 games  +35 =42 -29   +20 Elo +/- 52   3fold=32 (30%)   1243s      mean=0.528 LLR=+0.18 [CONTINUE]
 107 games  +35 =42 -30   +16 Elo +/- 52   3fold=32 (30%)   1244s      mean=0.523 LLR=+0.14 [CONTINUE]
 108 games  +35 =43 -30   +16 Elo +/- 51   3fold=33 (31%)   1266s      mean=0.523 LLR=+0.14 [CONTINUE]
 109 games  +35 =43 -31   +13 Elo +/- 51   3fold=33 (30%)   1270s      mean=0.518 LLR=+0.10 [CONTINUE]
 110 games  +35 =43 -32   +9 Elo +/- 51   3fold=33 (30%)   1275s      mean=0.514 LLR=+0.07 [CONTINUE]
 111 games  +35 =44 -32   +9 Elo +/- 51   3fold=34 (31%)   1301s      mean=0.514 LLR=+0.07 [CONTINUE]
 112 games  +35 =44 -33   +6 Elo +/- 50   3fold=34 (30%)   1304s      mean=0.509 LLR=+0.03 [CONTINUE]
 113 games  +35 =45 -33   +6 Elo +/- 50   3fold=34 (30%)   1307s      mean=0.509 LLR=+0.03 [CONTINUE]
 114 games  +35 =45 -34   +3 Elo +/- 50   3fold=34 (30%)   1336s      mean=0.504 LLR=-0.01 [CONTINUE]
 115 games  +35 =45 -35   -0 Elo +/- 50   3fold=34 (30%)   1337s      mean=0.500 LLR=-0.05 [CONTINUE]
 116 games  +35 =46 -35   -0 Elo +/- 49   3fold=34 (29%)   1347s      mean=0.500 LLR=-0.05 [CONTINUE]
 117 games  +35 =47 -35   -0 Elo +/- 49   3fold=35 (30%)   1362s      mean=0.500 LLR=-0.05 [CONTINUE]
 118 games  +35 =48 -35   -0 Elo +/- 49   3fold=36 (31%)   1367s      mean=0.500 LLR=-0.05 [CONTINUE]
 119 games  +35 =48 -36   -3 Elo +/- 49   3fold=36 (30%)   1377s      mean=0.496 LLR=-0.09 [CONTINUE]
 120 games  +35 =48 -37   -6 Elo +/- 48   3fold=36 (30%)   1391s      mean=0.492 LLR=-0.13 [CONTINUE]
 121 games  +36 =48 -37   -3 Elo +/- 48   3fold=36 (30%)   1397s      mean=0.496 LLR=-0.09 [CONTINUE]
 122 games  +36 =48 -38   -6 Elo +/- 48   3fold=36 (30%)   1410s      mean=0.492 LLR=-0.13 [CONTINUE]
 123 games  +36 =49 -38   -6 Elo +/- 48   3fold=37 (30%)   1420s      mean=0.492 LLR=-0.13 [CONTINUE]
 124 games  +36 =50 -38   -6 Elo +/- 48   3fold=38 (31%)   1430s      mean=0.492 LLR=-0.13 [CONTINUE]
 125 games  +37 =50 -38   -3 Elo +/- 47   3fold=38 (30%)   1443s      mean=0.496 LLR=-0.09 [CONTINUE]
 126 games  +37 =51 -38   -3 Elo +/- 47   3fold=39 (31%)   1453s      mean=0.496 LLR=-0.09 [CONTINUE]
 127 games  +37 =52 -38   -3 Elo +/- 47   3fold=40 (31%)   1458s      mean=0.496 LLR=-0.10 [CONTINUE]
 128 games  +37 =53 -38   -3 Elo +/- 46   3fold=41 (32%)   1468s      mean=0.496 LLR=-0.10 [CONTINUE]
 129 games  +38 =53 -38   -0 Elo +/- 46   3fold=41 (32%)   1479s      mean=0.500 LLR=-0.06 [CONTINUE]
 130 games  +38 =53 -39   -3 Elo +/- 46   3fold=41 (32%)   1491s      mean=0.496 LLR=-0.10 [CONTINUE]
 131 games  +38 =54 -39   -3 Elo +/- 46   3fold=42 (32%)   1494s      mean=0.496 LLR=-0.10 [CONTINUE]
 132 games  +38 =55 -39   -3 Elo +/- 46   3fold=43 (33%)   1510s      mean=0.496 LLR=-0.10 [CONTINUE]
 133 games  +38 =56 -39   -3 Elo +/- 45   3fold=44 (33%)   1522s      mean=0.496 LLR=-0.10 [CONTINUE]
 134 games  +38 =57 -39   -3 Elo +/- 45   3fold=45 (34%)   1531s      mean=0.496 LLR=-0.10 [CONTINUE]
 135 games  +38 =58 -39   -3 Elo +/- 45   3fold=46 (34%)   1540s      mean=0.496 LLR=-0.10 [CONTINUE]
 136 games  +38 =58 -40   -5 Elo +/- 44   3fold=46 (34%)   1553s      mean=0.493 LLR=-0.14 [CONTINUE]
 137 games  +38 =59 -40   -5 Elo +/- 44   3fold=47 (34%)   1564s      mean=0.493 LLR=-0.14 [CONTINUE]
 138 games  +38 =60 -40   -5 Elo +/- 44   3fold=48 (35%)   1583s      mean=0.493 LLR=-0.15 [CONTINUE]
 139 games  +38 =61 -40   -5 Elo +/- 43   3fold=49 (35%)   1588s      mean=0.493 LLR=-0.15 [CONTINUE]
 140 games  +38 =61 -41   -7 Elo +/- 43   3fold=49 (35%)   1596s      mean=0.489 LLR=-0.19 [CONTINUE]
 141 games  +38 =62 -41   -7 Elo +/- 43   3fold=50 (35%)   1611s      mean=0.489 LLR=-0.19 [CONTINUE]
 142 games  +38 =62 -42   -10 Elo +/- 43   3fold=50 (35%)   1621s      mean=0.486 LLR=-0.23 [CONTINUE]
 143 games  +38 =62 -43   -12 Elo +/- 43   3fold=50 (35%)   1628s      mean=0.483 LLR=-0.27 [CONTINUE]
 144 games  +38 =63 -43   -12 Elo +/- 43   3fold=51 (35%)   1640s      mean=0.483 LLR=-0.27 [CONTINUE]
 145 games  +38 =64 -43   -12 Elo +/- 42   3fold=52 (36%)   1650s      mean=0.483 LLR=-0.28 [CONTINUE]
 146 games  +38 =64 -44   -14 Elo +/- 42   3fold=52 (36%)   1659s      mean=0.479 LLR=-0.32 [CONTINUE]
 147 games  +38 =64 -45   -17 Elo +/- 42   3fold=52 (35%)   1670s      mean=0.476 LLR=-0.36 [CONTINUE]
 148 games  +38 =64 -46   -19 Elo +/- 42   3fold=52 (35%)   1682s      mean=0.473 LLR=-0.40 [CONTINUE]
 149 games  +39 =64 -46   -16 Elo +/- 42   3fold=52 (35%)   1689s      mean=0.477 LLR=-0.35 [CONTINUE]
 150 games  +39 =64 -47   -19 Elo +/- 42   3fold=52 (35%)   1700s      mean=0.473 LLR=-0.39 [CONTINUE]
 151 games  +40 =64 -47   -16 Elo +/- 42   3fold=52 (34%)   1714s      mean=0.477 LLR=-0.35 [CONTINUE]
 152 games  +41 =64 -47   -14 Elo +/- 42   3fold=52 (34%)   1719s      mean=0.480 LLR=-0.31 [CONTINUE]
 153 games  +41 =65 -47   -14 Elo +/- 42   3fold=53 (35%)   1727s      mean=0.480 LLR=-0.31 [CONTINUE]
 154 games  +41 =66 -47   -14 Elo +/- 42   3fold=53 (34%)   1752s      mean=0.481 LLR=-0.31 [CONTINUE]
 155 games  +42 =66 -47   -11 Elo +/- 42   3fold=53 (34%)   1753s      mean=0.484 LLR=-0.27 [CONTINUE]
 156 games  +43 =66 -47   -9 Elo +/- 42   3fold=53 (34%)   1761s      mean=0.487 LLR=-0.23 [CONTINUE]
 157 games  +43 =67 -47   -9 Elo +/- 41   3fold=54 (34%)   1780s      mean=0.487 LLR=-0.23 [CONTINUE]
 158 games  +43 =67 -48   -11 Elo +/- 41   3fold=54 (34%)   1787s      mean=0.484 LLR=-0.27 [CONTINUE]
 159 games  +44 =67 -48   -9 Elo +/- 41   3fold=54 (34%)   1792s      mean=0.487 LLR=-0.23 [CONTINUE]
 160 games  +45 =67 -48   -7 Elo +/- 41   3fold=54 (34%)   1816s      mean=0.491 LLR=-0.19 [CONTINUE]
 161 games  +45 =68 -48   -6 Elo +/- 41   3fold=55 (34%)   1824s      mean=0.491 LLR=-0.19 [CONTINUE]
 162 games  +45 =69 -48   -6 Elo +/- 41   3fold=56 (35%)   1829s      mean=0.491 LLR=-0.20 [CONTINUE]
 163 games  +45 =70 -48   -6 Elo +/- 40   3fold=57 (35%)   1845s      mean=0.491 LLR=-0.20 [CONTINUE]
 164 games  +45 =71 -48   -6 Elo +/- 40   3fold=58 (35%)   1849s      mean=0.491 LLR=-0.20 [CONTINUE]
 165 games  +46 =71 -48   -4 Elo +/- 40   3fold=58 (35%)   1864s      mean=0.494 LLR=-0.16 [CONTINUE]
 166 games  +46 =72 -48   -4 Elo +/- 40   3fold=59 (36%)   1871s      mean=0.494 LLR=-0.16 [CONTINUE]
 167 games  +46 =73 -48   -4 Elo +/- 40   3fold=60 (36%)   1885s      mean=0.494 LLR=-0.16 [CONTINUE]
 168 games  +46 =73 -49   -6 Elo +/- 40   3fold=60 (36%)   1894s      mean=0.491 LLR=-0.20 [CONTINUE]
 169 games  +46 =73 -50   -8 Elo +/- 40   3fold=60 (36%)   1905s      mean=0.488 LLR=-0.24 [CONTINUE]
 170 games  +46 =73 -51   -10 Elo +/- 40   3fold=60 (35%)   1915s      mean=0.485 LLR=-0.28 [CONTINUE]
 171 games  +46 =73 -52   -12 Elo +/- 40   3fold=60 (35%)   1926s      mean=0.482 LLR=-0.32 [CONTINUE]
 172 games  +46 =74 -52   -12 Elo +/- 39   3fold=61 (35%)   1932s      mean=0.483 LLR=-0.32 [CONTINUE]
 173 games  +46 =75 -52   -12 Elo +/- 39   3fold=62 (36%)   1940s      mean=0.483 LLR=-0.33 [CONTINUE]
 174 games  +47 =75 -52   -10 Elo +/- 39   3fold=62 (36%)   1957s      mean=0.486 LLR=-0.28 [CONTINUE]
 175 games  +48 =75 -52   -8 Elo +/- 39   3fold=62 (35%)   1966s      mean=0.489 LLR=-0.24 [CONTINUE]
 176 games  +49 =75 -52   -6 Elo +/- 39   3fold=62 (35%)   1970s      mean=0.491 LLR=-0.20 [CONTINUE]
 177 games  +50 =75 -52   -4 Elo +/- 39   3fold=62 (35%)   1991s      mean=0.494 LLR=-0.16 [CONTINUE]
 178 games  +50 =76 -52   -4 Elo +/- 39   3fold=63 (35%)   1998s      mean=0.494 LLR=-0.16 [CONTINUE]
 179 games  +50 =77 -52   -4 Elo +/- 39   3fold=63 (35%)   1998s      mean=0.494 LLR=-0.16 [CONTINUE]
 180 games  +50 =78 -52   -4 Elo +/- 38   3fold=64 (36%)   2022s      mean=0.494 LLR=-0.17 [CONTINUE]
 181 games  +50 =79 -52   -4 Elo +/- 38   3fold=65 (36%)   2025s      mean=0.494 LLR=-0.17 [CONTINUE]
 182 games  +51 =79 -52   -2 Elo +/- 38   3fold=65 (36%)   2032s      mean=0.497 LLR=-0.13 [CONTINUE]
 183 games  +51 =80 -52   -2 Elo +/- 38   3fold=65 (36%)   2054s      mean=0.497 LLR=-0.13 [CONTINUE]
 184 games  +52 =80 -52   -0 Elo +/- 38   3fold=65 (35%)   2055s      mean=0.500 LLR=-0.09 [CONTINUE]
 185 games  +53 =80 -52   +2 Elo +/- 38   3fold=65 (35%)   2064s      mean=0.503 LLR=-0.05 [CONTINUE]
 186 games  +53 =81 -52   +2 Elo +/- 38   3fold=66 (35%)   2077s      mean=0.503 LLR=-0.05 [CONTINUE]
 187 games  +54 =81 -52   +4 Elo +/- 38   3fold=66 (35%)   2092s      mean=0.505 LLR=-0.01 [CONTINUE]
 188 games  +54 =82 -52   +4 Elo +/- 37   3fold=67 (36%)   2104s      mean=0.505 LLR=-0.01 [CONTINUE]
 189 games  +54 =83 -52   +4 Elo +/- 37   3fold=67 (35%)   2114s      mean=0.505 LLR=-0.01 [CONTINUE]
 190 games  +55 =83 -52   +5 Elo +/- 37   3fold=67 (35%)   2134s      mean=0.508 LLR=+0.03 [CONTINUE]
 191 games  +55 =84 -52   +5 Elo +/- 37   3fold=67 (35%)   2137s      mean=0.508 LLR=+0.03 [CONTINUE]
 192 games  +55 =85 -52   +5 Elo +/- 37   3fold=67 (35%)   2163s      mean=0.508 LLR=+0.03 [CONTINUE]
 193 games  +55 =85 -53   +4 Elo +/- 37   3fold=67 (35%)   2164s      mean=0.505 LLR=-0.01 [CONTINUE]
 194 games  +56 =85 -53   +5 Elo +/- 37   3fold=67 (35%)   2165s      mean=0.508 LLR=+0.03 [CONTINUE]
 195 games  +56 =86 -53   +5 Elo +/- 37   3fold=67 (34%)   2193s      mean=0.508 LLR=+0.03 [CONTINUE]
 196 games  +56 =86 -54   +4 Elo +/- 37   3fold=67 (34%)   2198s      mean=0.505 LLR=-0.01 [CONTINUE]
 197 games  +56 =87 -54   +4 Elo +/- 36   3fold=68 (35%)   2209s      mean=0.505 LLR=-0.01 [CONTINUE]
 198 games  +56 =88 -54   +4 Elo +/- 36   3fold=69 (35%)   2224s      mean=0.505 LLR=-0.01 [CONTINUE]
 199 games  +56 =88 -55   +2 Elo +/- 36   3fold=69 (35%)   2226s      mean=0.503 LLR=-0.05 [CONTINUE]
 200 games  +56 =88 -56   -0 Elo +/- 36   3fold=69 (34%)   2239s      mean=0.500 LLR=-0.09 [CONTINUE]
 201 games  +56 =89 -56   -0 Elo +/- 36   3fold=70 (35%)   2248s      mean=0.500 LLR=-0.10 [CONTINUE]
 202 games  +57 =89 -56   +2 Elo +/- 36   3fold=70 (35%)   2256s      mean=0.502 LLR=-0.05 [CONTINUE]
 203 games  +58 =89 -56   +3 Elo +/- 36   3fold=70 (34%)   2271s      mean=0.505 LLR=-0.01 [CONTINUE]
 204 games  +59 =89 -56   +5 Elo +/- 36   3fold=70 (34%)   2283s      mean=0.507 LLR=+0.03 [CONTINUE]
 205 games  +59 =89 -57   +3 Elo +/- 36   3fold=70 (34%)   2291s      mean=0.505 LLR=-0.01 [CONTINUE]
 206 games  +59 =89 -58   +2 Elo +/- 36   3fold=70 (34%)   2312s      mean=0.502 LLR=-0.06 [CONTINUE]
 207 games  +59 =90 -58   +2 Elo +/- 36   3fold=71 (34%)   2314s      mean=0.502 LLR=-0.06 [CONTINUE]
 208 games  +59 =91 -58   +2 Elo +/- 36   3fold=71 (34%)   2319s      mean=0.502 LLR=-0.06 [CONTINUE]
 209 games  +59 =91 -59   -0 Elo +/- 36   3fold=71 (34%)   2342s      mean=0.500 LLR=-0.10 [CONTINUE]
