gauntlet: agent@engine vs agent@checkpoints/repfix2 | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=3000 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   3fold=1 (100%)   125s      mean=0.500 LLR=+0.00 [CONTINUE]
  15 games  +5 =7 -3   +47 Elo +/- 135   3fold=4 (27%)   266s      mean=0.567 LLR=+0.08 [CONTINUE]
  16 games  +5 =8 -3   +44 Elo +/- 126   3fold=5 (31%)   271s      mean=0.562 LLR=+0.09 [CONTINUE]
  17 games  +5 =9 -3   +41 Elo +/- 118   3fold=6 (35%)   272s      mean=0.559 LLR=+0.09 [CONTINUE]
  18 games  +6 =9 -3   +58 Elo +/- 118   3fold=6 (33%)   294s      mean=0.583 LLR=+0.14 [CONTINUE]
  19 games  +6 =9 -4   +37 Elo +/- 118   3fold=6 (32%)   301s      mean=0.553 LLR=+0.08 [CONTINUE]
  20 games  +6 =10 -4   +35 Elo +/- 111   3fold=7 (35%)   304s      mean=0.550 LLR=+0.08 [CONTINUE]
  21 games  +6 =11 -4   +33 Elo +/- 106   3fold=8 (38%)   321s      mean=0.548 LLR=+0.09 [CONTINUE]
  22 games  +6 =12 -4   +32 Elo +/- 101   3fold=9 (41%)   332s      mean=0.545 LLR=+0.09 [CONTINUE]
  23 games  +7 =12 -4   +46 Elo +/- 101   3fold=9 (39%)   333s      mean=0.565 LLR=+0.14 [CONTINUE]
  24 games  +8 =12 -4   +58 Elo +/- 101   3fold=9 (38%)   347s      mean=0.583 LLR=+0.18 [CONTINUE]
  25 games  +8 =13 -4   +56 Elo +/- 97   3fold=10 (40%)   357s      mean=0.580 LLR=+0.19 [CONTINUE]
  26 games  +8 =14 -4   +54 Elo +/- 93   3fold=10 (38%)   366s      mean=0.577 LLR=+0.19 [CONTINUE]
  27 games  +8 =14 -5   +39 Elo +/- 93   3fold=10 (37%)   377s      mean=0.556 LLR=+0.13 [CONTINUE]
  28 games  +8 =15 -5   +37 Elo +/- 90   3fold=11 (39%)   393s      mean=0.554 LLR=+0.14 [CONTINUE]
  29 games  +8 =15 -6   +24 Elo +/- 90   3fold=11 (38%)   396s      mean=0.534 LLR=+0.08 [CONTINUE]
  30 games  +8 =15 -7   +12 Elo +/- 90   3fold=11 (37%)   407s      mean=0.517 LLR=+0.03 [CONTINUE]
  31 games  +8 =16 -7   +11 Elo +/- 87   3fold=12 (39%)   421s      mean=0.516 LLR=+0.03 [CONTINUE]
  32 games  +9 =16 -7   +22 Elo +/- 87   3fold=12 (38%)   424s      mean=0.531 LLR=+0.08 [CONTINUE]
  33 games  +9 =16 -8   +11 Elo +/- 87   3fold=12 (36%)   439s      mean=0.515 LLR=+0.03 [CONTINUE]
  34 games  +9 =16 -9   -0 Elo +/- 87   3fold=12 (35%)   450s      mean=0.500 LLR=-0.02 [CONTINUE]
  35 games  +9 =16 -10   -10 Elo +/- 87   3fold=12 (34%)   457s      mean=0.486 LLR=-0.06 [CONTINUE]
  36 games  +9 =16 -11   -19 Elo +/- 86   3fold=12 (33%)   465s      mean=0.472 LLR=-0.10 [CONTINUE]
  37 games  +9 =17 -11   -19 Elo +/- 84   3fold=12 (32%)   481s      mean=0.473 LLR=-0.10 [CONTINUE]
  38 games  +9 =18 -11   -18 Elo +/- 82   3fold=13 (34%)   483s      mean=0.474 LLR=-0.11 [CONTINUE]
  39 games  +9 =19 -11   -18 Elo +/- 79   3fold=14 (36%)   492s      mean=0.474 LLR=-0.11 [CONTINUE]
  40 games  +10 =19 -11   -9 Elo +/- 79   3fold=14 (35%)   508s      mean=0.487 LLR=-0.06 [CONTINUE]
  41 games  +10 =19 -12   -17 Elo +/- 79   3fold=14 (34%)   510s      mean=0.476 LLR=-0.11 [CONTINUE]
  42 games  +10 =20 -12   -17 Elo +/- 77   3fold=15 (36%)   521s      mean=0.476 LLR=-0.11 [CONTINUE]
  43 games  +11 =20 -12   -8 Elo +/- 77   3fold=15 (35%)   540s      mean=0.488 LLR=-0.06 [CONTINUE]
  44 games  +11 =20 -13   -16 Elo +/- 77   3fold=15 (34%)   546s      mean=0.477 LLR=-0.11 [CONTINUE]
  45 games  +12 =20 -13   -8 Elo +/- 77   3fold=15 (33%)   555s      mean=0.489 LLR=-0.06 [CONTINUE]
  46 games  +12 =20 -14   -15 Elo +/- 77   3fold=15 (33%)   573s      mean=0.478 LLR=-0.10 [CONTINUE]
  47 games  +12 =20 -15   -22 Elo +/- 77   3fold=15 (32%)   589s      mean=0.468 LLR=-0.14 [CONTINUE]
  48 games  +12 =21 -15   -22 Elo +/- 75   3fold=15 (31%)   597s      mean=0.469 LLR=-0.15 [CONTINUE]
  49 games  +12 =21 -16   -28 Elo +/- 75   3fold=15 (31%)   603s      mean=0.459 LLR=-0.19 [CONTINUE]
  50 games  +12 =22 -16   -28 Elo +/- 73   3fold=16 (32%)   627s      mean=0.460 LLR=-0.19 [CONTINUE]
  51 games  +12 =23 -16   -27 Elo +/- 72   3fold=16 (31%)   632s      mean=0.461 LLR=-0.19 [CONTINUE]
  52 games  +12 =23 -17   -34 Elo +/- 72   3fold=16 (31%)   635s      mean=0.452 LLR=-0.24 [CONTINUE]
  53 games  +12 =24 -17   -33 Elo +/- 70   3fold=17 (32%)   652s      mean=0.453 LLR=-0.24 [CONTINUE]
  54 games  +13 =24 -17   -26 Elo +/- 70   3fold=17 (31%)   664s      mean=0.463 LLR=-0.19 [CONTINUE]
  55 games  +13 =24 -18   -32 Elo +/- 70   3fold=17 (31%)   676s      mean=0.455 LLR=-0.23 [CONTINUE]
  56 games  +13 =25 -18   -31 Elo +/- 69   3fold=18 (32%)   679s      mean=0.455 LLR=-0.24 [CONTINUE]
  57 games  +13 =25 -19   -37 Elo +/- 69   3fold=18 (32%)   692s      mean=0.447 LLR=-0.28 [CONTINUE]
  58 games  +13 =26 -19   -36 Elo +/- 67   3fold=19 (33%)   706s      mean=0.448 LLR=-0.28 [CONTINUE]
  59 games  +13 =26 -20   -41 Elo +/- 67   3fold=19 (32%)   712s      mean=0.441 LLR=-0.32 [CONTINUE]
  60 games  +14 =26 -20   -35 Elo +/- 67   3fold=19 (32%)   728s      mean=0.450 LLR=-0.28 [CONTINUE]
  61 games  +15 =26 -20   -29 Elo +/- 67   3fold=19 (31%)   736s      mean=0.459 LLR=-0.23 [CONTINUE]
  62 games  +15 =26 -21   -34 Elo +/- 67   3fold=19 (31%)   746s      mean=0.452 LLR=-0.27 [CONTINUE]
  63 games  +15 =26 -22   -39 Elo +/- 67   3fold=19 (30%)   759s      mean=0.444 LLR=-0.31 [CONTINUE]
  64 games  +15 =26 -23   -44 Elo +/- 67   3fold=19 (30%)   765s      mean=0.438 LLR=-0.35 [CONTINUE]
  65 games  +15 =26 -24   -48 Elo +/- 66   3fold=19 (29%)   780s      mean=0.431 LLR=-0.39 [CONTINUE]
  66 games  +16 =26 -24   -42 Elo +/- 66   3fold=19 (29%)   789s      mean=0.439 LLR=-0.34 [CONTINUE]
  67 games  +16 =26 -25   -47 Elo +/- 66   3fold=19 (28%)   796s      mean=0.433 LLR=-0.38 [CONTINUE]
  68 games  +16 =27 -25   -46 Elo +/- 65   3fold=20 (29%)   812s      mean=0.434 LLR=-0.38 [CONTINUE]
  69 games  +16 =28 -25   -46 Elo +/- 64   3fold=21 (30%)   826s      mean=0.435 LLR=-0.39 [CONTINUE]
  70 games  +16 =28 -26   -50 Elo +/- 64   3fold=21 (30%)   828s      mean=0.429 LLR=-0.43 [CONTINUE]
  71 games  +16 =29 -26   -49 Elo +/- 63   3fold=22 (31%)   850s      mean=0.430 LLR=-0.44 [CONTINUE]
  72 games  +16 =30 -26   -49 Elo +/- 62   3fold=23 (32%)   859s      mean=0.431 LLR=-0.44 [CONTINUE]
  73 games  +16 =31 -26   -48 Elo +/- 61   3fold=23 (32%)   871s      mean=0.432 LLR=-0.45 [CONTINUE]
  74 games  +17 =31 -26   -42 Elo +/- 61   3fold=23 (31%)   878s      mean=0.439 LLR=-0.40 [CONTINUE]
  75 games  +17 =32 -26   -42 Elo +/- 60   3fold=24 (32%)   884s      mean=0.440 LLR=-0.41 [CONTINUE]
  76 games  +17 =33 -26   -41 Elo +/- 59   3fold=25 (33%)   907s      mean=0.441 LLR=-0.41 [CONTINUE]
  77 games  +17 =34 -26   -41 Elo +/- 59   3fold=26 (34%)   907s      mean=0.442 LLR=-0.42 [CONTINUE]
  78 games  +17 =35 -26   -40 Elo +/- 58   3fold=27 (35%)   910s      mean=0.442 LLR=-0.42 [CONTINUE]
  79 games  +18 =35 -26   -35 Elo +/- 58   3fold=27 (34%)   935s      mean=0.449 LLR=-0.38 [CONTINUE]
  80 games  +19 =35 -26   -30 Elo +/- 58   3fold=27 (34%)   940s      mean=0.456 LLR=-0.33 [CONTINUE]
  81 games  +19 =36 -26   -30 Elo +/- 57   3fold=27 (33%)   947s      mean=0.457 LLR=-0.33 [CONTINUE]
  82 games  +20 =36 -26   -25 Elo +/- 57   3fold=27 (33%)   968s      mean=0.463 LLR=-0.29 [CONTINUE]
  83 games  +20 =36 -27   -29 Elo +/- 57   3fold=27 (33%)   971s      mean=0.458 LLR=-0.33 [CONTINUE]
  84 games  +21 =36 -27   -25 Elo +/- 57   3fold=27 (32%)   979s      mean=0.464 LLR=-0.28 [CONTINUE]
  85 games  +22 =36 -27   -20 Elo +/- 57   3fold=27 (32%)   999s      mean=0.471 LLR=-0.24 [CONTINUE]
  86 games  +22 =37 -27   -20 Elo +/- 56   3fold=28 (33%)   1005s      mean=0.471 LLR=-0.24 [CONTINUE]
  87 games  +22 =38 -27   -20 Elo +/- 55   3fold=29 (33%)   1010s      mean=0.471 LLR=-0.25 [CONTINUE]
  88 games  +23 =38 -27   -16 Elo +/- 55   3fold=29 (33%)   1027s      mean=0.477 LLR=-0.20 [CONTINUE]
  89 games  +23 =39 -27   -16 Elo +/- 55   3fold=30 (34%)   1034s      mean=0.478 LLR=-0.21 [CONTINUE]
  90 games  +23 =40 -27   -15 Elo +/- 54   3fold=31 (34%)   1038s      mean=0.478 LLR=-0.21 [CONTINUE]
  91 games  +24 =40 -27   -11 Elo +/- 54   3fold=31 (34%)   1063s      mean=0.484 LLR=-0.17 [CONTINUE]
  92 games  +24 =41 -27   -11 Elo +/- 53   3fold=32 (35%)   1064s      mean=0.484 LLR=-0.17 [CONTINUE]
  93 games  +24 =42 -27   -11 Elo +/- 53   3fold=33 (35%)   1066s      mean=0.484 LLR=-0.17 [CONTINUE]
  94 games  +24 =42 -28   -15 Elo +/- 53   3fold=33 (35%)   1093s      mean=0.479 LLR=-0.21 [CONTINUE]
  95 games  +24 =42 -29   -18 Elo +/- 53   3fold=33 (35%)   1094s      mean=0.474 LLR=-0.25 [CONTINUE]
  96 games  +24 =42 -30   -22 Elo +/- 53   3fold=33 (34%)   1096s      mean=0.469 LLR=-0.29 [CONTINUE]
  97 games  +25 =42 -30   -18 Elo +/- 52   3fold=33 (34%)   1126s      mean=0.474 LLR=-0.25 [CONTINUE]
  98 games  +25 =43 -30   -18 Elo +/- 52   3fold=33 (34%)   1126s      mean=0.474 LLR=-0.25 [CONTINUE]
  99 games  +26 =43 -30   -14 Elo +/- 52   3fold=33 (33%)   1128s      mean=0.480 LLR=-0.21 [CONTINUE]
 100 games  +26 =44 -30   -14 Elo +/- 51   3fold=34 (34%)   1151s      mean=0.480 LLR=-0.21 [CONTINUE]
 101 games  +26 =45 -30   -14 Elo +/- 51   3fold=35 (35%)   1153s      mean=0.480 LLR=-0.21 [CONTINUE]
 102 games  +27 =45 -30   -10 Elo +/- 51   3fold=35 (34%)   1157s      mean=0.485 LLR=-0.17 [CONTINUE]
 103 games  +28 =45 -30   -7 Elo +/- 51   3fold=35 (34%)   1179s      mean=0.490 LLR=-0.13 [CONTINUE]
 104 games  +28 =45 -31   -10 Elo +/- 51   3fold=35 (34%)   1185s      mean=0.486 LLR=-0.17 [CONTINUE]
 105 games  +29 =45 -31   -7 Elo +/- 51   3fold=35 (33%)   1186s      mean=0.490 LLR=-0.13 [CONTINUE]
 106 games  +30 =45 -31   -3 Elo +/- 51   3fold=35 (33%)   1206s      mean=0.495 LLR=-0.09 [CONTINUE]
 107 games  +31 =45 -31   -0 Elo +/- 50   3fold=35 (33%)   1213s      mean=0.500 LLR=-0.05 [CONTINUE]
 108 games  +31 =46 -31   -0 Elo +/- 50   3fold=36 (33%)   1220s      mean=0.500 LLR=-0.05 [CONTINUE]
 109 games  +32 =46 -31   +3 Elo +/- 50   3fold=36 (33%)   1229s      mean=0.505 LLR=-0.01 [CONTINUE]
 110 games  +33 =46 -31   +6 Elo +/- 50   3fold=36 (33%)   1244s      mean=0.509 LLR=+0.03 [CONTINUE]
 111 games  +33 =46 -32   +3 Elo +/- 50   3fold=36 (32%)   1250s      mean=0.505 LLR=-0.01 [CONTINUE]
 112 games  +33 =46 -33   -0 Elo +/- 50   3fold=36 (32%)   1257s      mean=0.500 LLR=-0.05 [CONTINUE]
 113 games  +33 =46 -34   -3 Elo +/- 50   3fold=36 (32%)   1275s      mean=0.496 LLR=-0.09 [CONTINUE]
 114 games  +34 =46 -34   -0 Elo +/- 50   3fold=36 (32%)   1282s      mean=0.500 LLR=-0.05 [CONTINUE]
 115 games  +34 =47 -34   -0 Elo +/- 49   3fold=36 (31%)   1299s      mean=0.500 LLR=-0.05 [CONTINUE]
 116 games  +35 =47 -34   +3 Elo +/- 49   3fold=36 (31%)   1303s      mean=0.504 LLR=-0.01 [CONTINUE]
 117 games  +36 =47 -34   +6 Elo +/- 49   3fold=36 (31%)   1314s      mean=0.509 LLR=+0.03 [CONTINUE]
 118 games  +36 =48 -34   +6 Elo +/- 49   3fold=37 (31%)   1337s      mean=0.508 LLR=+0.02 [CONTINUE]
 119 games  +36 =48 -35   +3 Elo +/- 49   3fold=37 (31%)   1337s      mean=0.504 LLR=-0.01 [CONTINUE]
 120 games  +37 =48 -35   +6 Elo +/- 48   3fold=37 (31%)   1345s      mean=0.508 LLR=+0.02 [CONTINUE]
 121 games  +38 =48 -35   +9 Elo +/- 48   3fold=37 (31%)   1367s      mean=0.512 LLR=+0.06 [CONTINUE]
 122 games  +38 =48 -36   +6 Elo +/- 48   3fold=37 (30%)   1368s      mean=0.508 LLR=+0.02 [CONTINUE]
 123 games  +38 =49 -36   +6 Elo +/- 48   3fold=38 (31%)   1377s      mean=0.508 LLR=+0.02 [CONTINUE]
 124 games  +38 =50 -36   +6 Elo +/- 48   3fold=39 (31%)   1391s      mean=0.508 LLR=+0.02 [CONTINUE]
 125 games  +39 =50 -36   +8 Elo +/- 47   3fold=39 (31%)   1399s      mean=0.512 LLR=+0.06 [CONTINUE]
 126 games  +40 =50 -36   +11 Elo +/- 47   3fold=39 (31%)   1406s      mean=0.516 LLR=+0.10 [CONTINUE]
 127 games  +40 =51 -36   +11 Elo +/- 47   3fold=40 (31%)   1411s      mean=0.516 LLR=+0.10 [CONTINUE]
 128 games  +40 =52 -36   +11 Elo +/- 47   3fold=41 (32%)   1427s      mean=0.516 LLR=+0.10 [CONTINUE]
 129 games  +40 =53 -36   +11 Elo +/- 46   3fold=42 (33%)   1433s      mean=0.516 LLR=+0.10 [CONTINUE]
 130 games  +40 =53 -37   +8 Elo +/- 46   3fold=42 (32%)   1447s      mean=0.512 LLR=+0.06 [CONTINUE]
 131 games  +40 =54 -37   +8 Elo +/- 46   3fold=43 (33%)   1461s      mean=0.511 LLR=+0.06 [CONTINUE]
 132 games  +40 =54 -38   +5 Elo +/- 46   3fold=43 (33%)   1477s      mean=0.508 LLR=+0.02 [CONTINUE]
 133 games  +41 =54 -38   +8 Elo +/- 46   3fold=43 (32%)   1479s      mean=0.511 LLR=+0.06 [CONTINUE]
 134 games  +42 =54 -38   +10 Elo +/- 46   3fold=43 (32%)   1492s      mean=0.515 LLR=+0.09 [CONTINUE]
 135 games  +42 =55 -38   +10 Elo +/- 45   3fold=44 (33%)   1511s      mean=0.515 LLR=+0.10 [CONTINUE]
 136 games  +42 =56 -38   +10 Elo +/- 45   3fold=44 (32%)   1513s      mean=0.515 LLR=+0.10 [CONTINUE]
 137 games  +42 =56 -39   +8 Elo +/- 45   3fold=44 (32%)   1525s      mean=0.511 LLR=+0.06 [CONTINUE]
 138 games  +42 =57 -39   +8 Elo +/- 45   3fold=45 (33%)   1540s      mean=0.511 LLR=+0.06 [CONTINUE]
 139 games  +42 =57 -40   +5 Elo +/- 45   3fold=45 (32%)   1546s      mean=0.507 LLR=+0.02 [CONTINUE]
 140 games  +43 =57 -40   +7 Elo +/- 45   3fold=45 (32%)   1555s      mean=0.511 LLR=+0.05 [CONTINUE]
 141 games  +44 =57 -40   +10 Elo +/- 45   3fold=45 (32%)   1572s      mean=0.514 LLR=+0.09 [CONTINUE]
 142 games  +44 =58 -40   +10 Elo +/- 44   3fold=45 (32%)   1589s      mean=0.514 LLR=+0.09 [CONTINUE]
 143 games  +44 =59 -40   +10 Elo +/- 44   3fold=46 (32%)   1590s      mean=0.514 LLR=+0.09 [CONTINUE]
 144 games  +44 =60 -40   +10 Elo +/- 44   3fold=47 (33%)   1603s      mean=0.514 LLR=+0.09 [CONTINUE]
 145 games  +44 =60 -41   +7 Elo +/- 44   3fold=47 (32%)   1617s      mean=0.510 LLR=+0.05 [CONTINUE]
 146 games  +45 =60 -41   +10 Elo +/- 43   3fold=47 (32%)   1622s      mean=0.514 LLR=+0.09 [CONTINUE]
 147 games  +46 =60 -41   +12 Elo +/- 43   3fold=47 (32%)   1637s      mean=0.517 LLR=+0.13 [CONTINUE]
 148 games  +46 =60 -42   +9 Elo +/- 43   3fold=47 (32%)   1651s      mean=0.514 LLR=+0.09 [CONTINUE]
 149 games  +47 =60 -42   +12 Elo +/- 43   3fold=47 (32%)   1655s      mean=0.517 LLR=+0.13 [CONTINUE]
 150 games  +47 =61 -42   +12 Elo +/- 43   3fold=48 (32%)   1664s      mean=0.517 LLR=+0.13 [CONTINUE]
 151 games  +48 =61 -42   +14 Elo +/- 43   3fold=48 (32%)   1683s      mean=0.520 LLR=+0.17 [CONTINUE]
 152 games  +48 =61 -43   +11 Elo +/- 43   3fold=48 (32%)   1685s      mean=0.516 LLR=+0.13 [CONTINUE]
 153 games  +49 =61 -43   +14 Elo +/- 43   3fold=48 (31%)   1697s      mean=0.520 LLR=+0.16 [CONTINUE]
 154 games  +49 =62 -43   +14 Elo +/- 43   3fold=49 (32%)   1717s      mean=0.519 LLR=+0.16 [CONTINUE]
 155 games  +50 =62 -43   +16 Elo +/- 43   3fold=49 (32%)   1719s      mean=0.523 LLR=+0.20 [CONTINUE]
 156 games  +50 =62 -44   +13 Elo +/- 43   3fold=49 (31%)   1730s      mean=0.519 LLR=+0.16 [CONTINUE]
 157 games  +51 =62 -44   +16 Elo +/- 43   3fold=49 (31%)   1753s      mean=0.522 LLR=+0.20 [CONTINUE]
 158 games  +52 =62 -44   +18 Elo +/- 42   3fold=49 (31%)   1753s      mean=0.525 LLR=+0.24 [CONTINUE]
 159 games  +53 =62 -44   +20 Elo +/- 42   3fold=49 (31%)   1759s      mean=0.528 LLR=+0.27 [CONTINUE]
 160 games  +53 =63 -44   +20 Elo +/- 42   3fold=49 (31%)   1783s      mean=0.528 LLR=+0.27 [CONTINUE]
 161 games  +53 =63 -45   +17 Elo +/- 42   3fold=49 (30%)   1784s      mean=0.525 LLR=+0.23 [CONTINUE]
 162 games  +53 =63 -46   +15 Elo +/- 42   3fold=49 (30%)   1790s      mean=0.522 LLR=+0.19 [CONTINUE]
 163 games  +54 =63 -46   +17 Elo +/- 42   3fold=49 (30%)   1810s      mean=0.525 LLR=+0.23 [CONTINUE]
 164 games  +54 =64 -46   +17 Elo +/- 42   3fold=49 (30%)   1820s      mean=0.524 LLR=+0.23 [CONTINUE]
 165 games  +55 =64 -46   +19 Elo +/- 42   3fold=49 (30%)   1822s      mean=0.527 LLR=+0.27 [CONTINUE]
 166 games  +56 =64 -46   +21 Elo +/- 42   3fold=49 (30%)   1845s      mean=0.530 LLR=+0.30 [CONTINUE]
 167 games  +57 =64 -46   +23 Elo +/- 42   3fold=49 (29%)   1849s      mean=0.533 LLR=+0.34 [CONTINUE]
 168 games  +57 =64 -47   +21 Elo +/- 42   3fold=49 (29%)   1850s      mean=0.530 LLR=+0.30 [CONTINUE]
 169 games  +57 =64 -48   +19 Elo +/- 42   3fold=49 (29%)   1876s      mean=0.527 LLR=+0.26 [CONTINUE]
 170 games  +57 =64 -49   +16 Elo +/- 41   3fold=49 (29%)   1877s      mean=0.524 LLR=+0.22 [CONTINUE]
 171 games  +57 =64 -50   +14 Elo +/- 41   3fold=49 (29%)   1884s      mean=0.520 LLR=+0.19 [CONTINUE]
 172 games  +57 =65 -50   +14 Elo +/- 41   3fold=50 (29%)   1909s      mean=0.520 LLR=+0.19 [CONTINUE]
 173 games  +57 =66 -50   +14 Elo +/- 41   3fold=51 (29%)   1909s      mean=0.520 LLR=+0.19 [CONTINUE]
 174 games  +57 =67 -50   +14 Elo +/- 41   3fold=51 (29%)   1930s      mean=0.520 LLR=+0.19 [CONTINUE]
 175 games  +57 =68 -50   +14 Elo +/- 40   3fold=52 (30%)   1933s      mean=0.520 LLR=+0.19 [CONTINUE]
 176 games  +58 =68 -50   +16 Elo +/- 40   3fold=52 (30%)   1943s      mean=0.523 LLR=+0.22 [CONTINUE]
 177 games  +58 =69 -50   +16 Elo +/- 40   3fold=53 (30%)   1956s      mean=0.523 LLR=+0.23 [CONTINUE]
 178 games  +58 =70 -50   +16 Elo +/- 40   3fold=54 (30%)   1967s      mean=0.522 LLR=+0.23 [CONTINUE]
 179 games  +58 =71 -50   +16 Elo +/- 40   3fold=55 (31%)   1970s      mean=0.522 LLR=+0.23 [CONTINUE]
 180 games  +59 =71 -50   +17 Elo +/- 40   3fold=55 (31%)   1987s      mean=0.525 LLR=+0.26 [CONTINUE]
 181 games  +59 =72 -50   +17 Elo +/- 39   3fold=56 (31%)   2002s      mean=0.525 LLR=+0.27 [CONTINUE]
 182 games  +59 =73 -50   +17 Elo +/- 39   3fold=57 (31%)   2002s      mean=0.525 LLR=+0.27 [CONTINUE]
 183 games  +59 =74 -50   +17 Elo +/- 39   3fold=58 (32%)   2022s      mean=0.525 LLR=+0.27 [CONTINUE]
 184 games  +60 =74 -50   +19 Elo +/- 39   3fold=58 (32%)   2034s      mean=0.527 LLR=+0.31 [CONTINUE]
 185 games  +61 =74 -50   +21 Elo +/- 39   3fold=58 (31%)   2039s      mean=0.530 LLR=+0.34 [CONTINUE]
 186 games  +61 =75 -50   +21 Elo +/- 39   3fold=59 (32%)   2057s      mean=0.530 LLR=+0.34 [CONTINUE]
 187 games  +61 =75 -51   +19 Elo +/- 39   3fold=59 (32%)   2070s      mean=0.527 LLR=+0.30 [CONTINUE]
 188 games  +61 =76 -51   +18 Elo +/- 39   3fold=59 (31%)   2074s      mean=0.527 LLR=+0.30 [CONTINUE]
 189 games  +61 =77 -51   +18 Elo +/- 38   3fold=60 (32%)   2089s      mean=0.526 LLR=+0.31 [CONTINUE]
 190 games  +61 =77 -52   +16 Elo +/- 38   3fold=60 (32%)   2101s      mean=0.524 LLR=+0.26 [CONTINUE]
 191 games  +62 =77 -52   +18 Elo +/- 38   3fold=60 (31%)   2104s      mean=0.526 LLR=+0.30 [CONTINUE]
 192 games  +63 =77 -52   +20 Elo +/- 38   3fold=60 (31%)   2117s      mean=0.529 LLR=+0.34 [CONTINUE]
 193 games  +63 =78 -52   +20 Elo +/- 38   3fold=61 (32%)   2129s      mean=0.528 LLR=+0.34 [CONTINUE]
 194 games  +64 =78 -52   +22 Elo +/- 38   3fold=61 (31%)   2135s      mean=0.531 LLR=+0.38 [CONTINUE]
 195 games  +64 =78 -53   +20 Elo +/- 38   3fold=61 (31%)   2147s      mean=0.528 LLR=+0.34 [CONTINUE]
 196 games  +64 =78 -54   +18 Elo +/- 38   3fold=61 (31%)   2163s      mean=0.526 LLR=+0.30 [CONTINUE]
 197 games  +65 =78 -54   +19 Elo +/- 38   3fold=61 (31%)   2165s      mean=0.528 LLR=+0.33 [CONTINUE]
 198 games  +65 =79 -54   +19 Elo +/- 38   3fold=62 (31%)   2179s      mean=0.528 LLR=+0.34 [CONTINUE]
 199 games  +66 =79 -54   +21 Elo +/- 38   3fold=62 (31%)   2194s      mean=0.530 LLR=+0.37 [CONTINUE]
 200 games  +67 =79 -54   +23 Elo +/- 38   3fold=62 (31%)   2196s      mean=0.532 LLR=+0.41 [CONTINUE]
 201 games  +67 =79 -55   +21 Elo +/- 38   3fold=62 (31%)   2207s      mean=0.530 LLR=+0.37 [CONTINUE]
 202 games  +67 =80 -55   +21 Elo +/- 37   3fold=63 (31%)   2222s      mean=0.530 LLR=+0.37 [CONTINUE]
 203 games  +67 =81 -55   +21 Elo +/- 37   3fold=64 (32%)   2231s      mean=0.530 LLR=+0.37 [CONTINUE]
 204 games  +67 =82 -55   +20 Elo +/- 37   3fold=65 (32%)   2239s      mean=0.529 LLR=+0.37 [CONTINUE]
 205 games  +68 =82 -55   +22 Elo +/- 37   3fold=65 (32%)   2252s      mean=0.532 LLR=+0.41 [CONTINUE]
 206 games  +68 =82 -56   +20 Elo +/- 37   3fold=65 (32%)   2262s      mean=0.529 LLR=+0.37 [CONTINUE]
 207 games  +68 =82 -57   +18 Elo +/- 37   3fold=65 (31%)   2265s      mean=0.527 LLR=+0.33 [CONTINUE]
 208 games  +68 =83 -57   +18 Elo +/- 37   3fold=66 (32%)   2281s      mean=0.526 LLR=+0.33 [CONTINUE]
 209 games  +68 =84 -57   +18 Elo +/- 37   3fold=67 (32%)   2290s      mean=0.526 LLR=+0.33 [CONTINUE]
