gauntlet: agent@engine vs agent@checkpoints/clockcap | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   3fold=1 (100%)   131s      mean=0.500 LLR=+0.00 [CONTINUE]
  24 games  +6 =14 -4   +29 Elo +/- 92   3fold=10 (42%)   367s      mean=0.542 LLR=+0.10 [CONTINUE]
  25 games  +6 =14 -5   +14 Elo +/- 92   3fold=10 (40%)   390s      mean=0.520 LLR=+0.04 [CONTINUE]
  26 games  +6 =14 -6   -0 Elo +/- 93   3fold=10 (38%)   392s      mean=0.500 LLR=-0.01 [CONTINUE]
  27 games  +6 =15 -6   -0 Elo +/- 89   3fold=10 (37%)   405s      mean=0.500 LLR=-0.02 [CONTINUE]
  28 games  +6 =16 -6   -0 Elo +/- 86   3fold=11 (39%)   418s      mean=0.500 LLR=-0.02 [CONTINUE]
  29 games  +6 =16 -7   -12 Elo +/- 86   3fold=11 (38%)   422s      mean=0.483 LLR=-0.07 [CONTINUE]
  30 games  +6 =17 -7   -12 Elo +/- 83   3fold=11 (37%)   448s      mean=0.483 LLR=-0.07 [CONTINUE]
  31 games  +6 =18 -7   -11 Elo +/- 81   3fold=11 (35%)   451s      mean=0.484 LLR=-0.07 [CONTINUE]
  32 games  +7 =18 -7   -0 Elo +/- 81   3fold=11 (34%)   453s      mean=0.500 LLR=-0.02 [CONTINUE]
  33 games  +7 =18 -8   -11 Elo +/- 81   3fold=11 (33%)   474s      mean=0.485 LLR=-0.07 [CONTINUE]
  34 games  +7 =19 -8   -10 Elo +/- 79   3fold=12 (35%)   480s      mean=0.485 LLR=-0.07 [CONTINUE]
  35 games  +7 =20 -8   -10 Elo +/- 77   3fold=12 (34%)   486s      mean=0.486 LLR=-0.08 [CONTINUE]
  36 games  +7 =21 -8   -10 Elo +/- 74   3fold=13 (36%)   511s      mean=0.486 LLR=-0.08 [CONTINUE]
  37 games  +7 =21 -9   -19 Elo +/- 75   3fold=13 (35%)   511s      mean=0.473 LLR=-0.13 [CONTINUE]
  38 games  +7 =22 -9   -18 Elo +/- 73   3fold=14 (37%)   519s      mean=0.474 LLR=-0.13 [CONTINUE]
  39 games  +7 =23 -9   -18 Elo +/- 71   3fold=15 (38%)   538s      mean=0.474 LLR=-0.14 [CONTINUE]
  40 games  +7 =23 -10   -26 Elo +/- 71   3fold=15 (38%)   540s      mean=0.463 LLR=-0.19 [CONTINUE]
  41 games  +8 =23 -10   -17 Elo +/- 71   3fold=15 (37%)   551s      mean=0.476 LLR=-0.13 [CONTINUE]
  42 games  +9 =23 -10   -8 Elo +/- 72   3fold=15 (36%)   570s      mean=0.488 LLR=-0.08 [CONTINUE]
  43 games  +10 =23 -10   -0 Elo +/- 72   3fold=15 (35%)   572s      mean=0.500 LLR=-0.02 [CONTINUE]
  44 games  +10 =23 -11   -8 Elo +/- 72   3fold=15 (34%)   577s      mean=0.489 LLR=-0.07 [CONTINUE]
  45 games  +10 =24 -11   -8 Elo +/- 70   3fold=16 (36%)   599s      mean=0.489 LLR=-0.07 [CONTINUE]
  46 games  +10 =24 -12   -15 Elo +/- 70   3fold=16 (35%)   601s      mean=0.478 LLR=-0.12 [CONTINUE]
  47 games  +11 =24 -12   -7 Elo +/- 70   3fold=16 (34%)   611s      mean=0.489 LLR=-0.07 [CONTINUE]
  48 games  +11 =25 -12   -7 Elo +/- 69   3fold=17 (35%)   628s      mean=0.490 LLR=-0.07 [CONTINUE]
  49 games  +11 =26 -12   -7 Elo +/- 67   3fold=18 (37%)   633s      mean=0.490 LLR=-0.08 [CONTINUE]
  50 games  +11 =26 -13   -14 Elo +/- 68   3fold=18 (36%)   635s      mean=0.480 LLR=-0.12 [CONTINUE]
  51 games  +11 =26 -14   -20 Elo +/- 68   3fold=18 (35%)   661s      mean=0.471 LLR=-0.17 [CONTINUE]
  52 games  +12 =26 -14   -13 Elo +/- 68   3fold=18 (35%)   666s      mean=0.481 LLR=-0.12 [CONTINUE]
  53 games  +13 =26 -14   -7 Elo +/- 68   3fold=18 (34%)   674s      mean=0.491 LLR=-0.07 [CONTINUE]
  54 games  +13 =26 -15   -13 Elo +/- 68   3fold=18 (33%)   695s      mean=0.481 LLR=-0.12 [CONTINUE]
  55 games  +13 =26 -16   -19 Elo +/- 68   3fold=18 (33%)   699s      mean=0.473 LLR=-0.16 [CONTINUE]
  56 games  +13 =27 -16   -19 Elo +/- 66   3fold=19 (34%)   701s      mean=0.473 LLR=-0.16 [CONTINUE]
  57 games  +14 =27 -16   -12 Elo +/- 66   3fold=19 (33%)   721s      mean=0.482 LLR=-0.12 [CONTINUE]
  58 games  +14 =28 -16   -12 Elo +/- 65   3fold=20 (34%)   724s      mean=0.483 LLR=-0.12 [CONTINUE]
  59 games  +14 =28 -17   -18 Elo +/- 65   3fold=20 (34%)   732s      mean=0.475 LLR=-0.16 [CONTINUE]
  60 games  +14 =28 -18   -23 Elo +/- 65   3fold=20 (33%)   751s      mean=0.467 LLR=-0.20 [CONTINUE]
  61 games  +15 =28 -18   -17 Elo +/- 65   3fold=20 (33%)   752s      mean=0.475 LLR=-0.16 [CONTINUE]
  62 games  +15 =29 -18   -17 Elo +/- 64   3fold=21 (34%)   772s      mean=0.476 LLR=-0.16 [CONTINUE]
  63 games  +15 =30 -18   -17 Elo +/- 63   3fold=22 (35%)   783s      mean=0.476 LLR=-0.16 [CONTINUE]
  64 games  +15 =31 -18   -16 Elo +/- 62   3fold=23 (36%)   791s      mean=0.477 LLR=-0.17 [CONTINUE]
  65 games  +15 =31 -19   -21 Elo +/- 62   3fold=23 (35%)   805s      mean=0.469 LLR=-0.21 [CONTINUE]
  66 games  +15 =31 -20   -26 Elo +/- 62   3fold=23 (35%)   815s      mean=0.462 LLR=-0.25 [CONTINUE]
  67 games  +15 =31 -21   -31 Elo +/- 62   3fold=23 (34%)   822s      mean=0.455 LLR=-0.29 [CONTINUE]
  68 games  +15 =32 -21   -31 Elo +/- 61   3fold=24 (35%)   834s      mean=0.456 LLR=-0.30 [CONTINUE]
  69 games  +15 =32 -22   -35 Elo +/- 61   3fold=24 (35%)   840s      mean=0.449 LLR=-0.34 [CONTINUE]
  70 games  +15 =32 -23   -40 Elo +/- 61   3fold=24 (34%)   850s      mean=0.443 LLR=-0.38 [CONTINUE]
  71 games  +15 =33 -23   -39 Elo +/- 60   3fold=24 (34%)   869s      mean=0.444 LLR=-0.39 [CONTINUE]
  72 games  +16 =33 -23   -34 Elo +/- 60   3fold=24 (33%)   872s      mean=0.451 LLR=-0.34 [CONTINUE]
  73 games  +16 =34 -23   -33 Elo +/- 59   3fold=25 (34%)   874s      mean=0.452 LLR=-0.34 [CONTINUE]
  74 games  +16 =34 -24   -38 Elo +/- 59   3fold=25 (34%)   901s      mean=0.446 LLR=-0.39 [CONTINUE]
  75 games  +17 =34 -24   -33 Elo +/- 59   3fold=25 (33%)   906s      mean=0.453 LLR=-0.34 [CONTINUE]
  76 games  +18 =34 -24   -27 Elo +/- 59   3fold=25 (33%)   918s      mean=0.461 LLR=-0.29 [CONTINUE]
  77 games  +18 =34 -25   -32 Elo +/- 59   3fold=25 (32%)   933s      mean=0.455 LLR=-0.33 [CONTINUE]
  78 games  +18 =34 -26   -36 Elo +/- 59   3fold=25 (32%)   939s      mean=0.449 LLR=-0.37 [CONTINUE]
  79 games  +18 =35 -26   -35 Elo +/- 58   3fold=26 (33%)   945s      mean=0.449 LLR=-0.38 [CONTINUE]
  80 games  +19 =35 -26   -30 Elo +/- 58   3fold=26 (32%)   968s      mean=0.456 LLR=-0.33 [CONTINUE]
  81 games  +19 =35 -27   -34 Elo +/- 58   3fold=26 (32%)   972s      mean=0.451 LLR=-0.37 [CONTINUE]
  82 games  +19 =36 -27   -34 Elo +/- 57   3fold=27 (33%)   978s      mean=0.451 LLR=-0.37 [CONTINUE]
  83 games  +20 =36 -27   -29 Elo +/- 57   3fold=27 (33%)   997s      mean=0.458 LLR=-0.33 [CONTINUE]
  84 games  +21 =36 -27   -25 Elo +/- 57   3fold=27 (32%)   1000s      mean=0.464 LLR=-0.28 [CONTINUE]
  85 games  +21 =37 -27   -25 Elo +/- 56   3fold=27 (32%)   1020s      mean=0.465 LLR=-0.29 [CONTINUE]
  86 games  +21 =38 -27   -24 Elo +/- 55   3fold=27 (31%)   1031s      mean=0.465 LLR=-0.29 [CONTINUE]
  87 games  +21 =38 -28   -28 Elo +/- 55   3fold=27 (31%)   1031s      mean=0.460 LLR=-0.33 [CONTINUE]
  88 games  +21 =39 -28   -28 Elo +/- 55   3fold=28 (32%)   1049s      mean=0.460 LLR=-0.34 [CONTINUE]
  89 games  +21 =40 -28   -27 Elo +/- 54   3fold=29 (33%)   1057s      mean=0.461 LLR=-0.34 [CONTINUE]
  90 games  +21 =40 -29   -31 Elo +/- 54   3fold=29 (32%)   1065s      mean=0.456 LLR=-0.38 [CONTINUE]
  91 games  +21 =41 -29   -31 Elo +/- 53   3fold=30 (33%)   1076s      mean=0.456 LLR=-0.38 [CONTINUE]
  92 games  +21 =41 -30   -34 Elo +/- 53   3fold=30 (33%)   1094s      mean=0.451 LLR=-0.43 [CONTINUE]
  93 games  +21 =42 -30   -34 Elo +/- 53   3fold=31 (33%)   1096s      mean=0.452 LLR=-0.43 [CONTINUE]
  94 games  +21 =42 -31   -37 Elo +/- 53   3fold=31 (33%)   1104s      mean=0.447 LLR=-0.47 [CONTINUE]
  95 games  +21 =42 -32   -40 Elo +/- 53   3fold=31 (33%)   1124s      mean=0.442 LLR=-0.51 [CONTINUE]
  96 games  +22 =42 -32   -36 Elo +/- 53   3fold=31 (32%)   1132s      mean=0.448 LLR=-0.46 [CONTINUE]
  97 games  +23 =42 -32   -32 Elo +/- 53   3fold=31 (32%)   1134s      mean=0.454 LLR=-0.42 [CONTINUE]
  98 games  +23 =43 -32   -32 Elo +/- 52   3fold=32 (33%)   1160s      mean=0.454 LLR=-0.42 [CONTINUE]
  99 games  +24 =43 -32   -28 Elo +/- 52   3fold=32 (32%)   1161s      mean=0.460 LLR=-0.38 [CONTINUE]
 100 games  +24 =44 -32   -28 Elo +/- 51   3fold=33 (33%)   1162s      mean=0.460 LLR=-0.38 [CONTINUE]
 101 games  +25 =44 -32   -24 Elo +/- 51   3fold=33 (33%)   1199s      mean=0.465 LLR=-0.34 [CONTINUE]
 102 games  +25 =44 -33   -27 Elo +/- 51   3fold=33 (32%)   1210s      mean=0.461 LLR=-0.38 [CONTINUE]
 103 games  +25 =45 -33   -27 Elo +/- 51   3fold=34 (33%)   1210s      mean=0.461 LLR=-0.38 [CONTINUE]
 104 games  +25 =45 -34   -30 Elo +/- 51   3fold=34 (33%)   1228s      mean=0.457 LLR=-0.42 [CONTINUE]
 105 games  +25 =46 -34   -30 Elo +/- 50   3fold=34 (32%)   1243s      mean=0.457 LLR=-0.42 [CONTINUE]
 106 games  +26 =46 -34   -26 Elo +/- 50   3fold=34 (32%)   1246s      mean=0.462 LLR=-0.38 [CONTINUE]
 107 games  +26 =47 -34   -26 Elo +/- 50   3fold=35 (33%)   1250s      mean=0.463 LLR=-0.38 [CONTINUE]
 108 games  +27 =47 -34   -23 Elo +/- 50   3fold=35 (32%)   1278s      mean=0.468 LLR=-0.34 [CONTINUE]
 109 games  +28 =47 -34   -19 Elo +/- 50   3fold=35 (32%)   1281s      mean=0.472 LLR=-0.30 [CONTINUE]
 110 games  +28 =47 -35   -22 Elo +/- 49   3fold=35 (32%)   1283s      mean=0.468 LLR=-0.33 [CONTINUE]
 111 games  +28 =48 -35   -22 Elo +/- 49   3fold=36 (32%)   1303s      mean=0.468 LLR=-0.34 [CONTINUE]
 112 games  +29 =48 -35   -19 Elo +/- 49   3fold=36 (32%)   1319s      mean=0.473 LLR=-0.30 [CONTINUE]
 113 games  +29 =49 -35   -18 Elo +/- 49   3fold=36 (32%)   1325s      mean=0.473 LLR=-0.30 [CONTINUE]
 114 games  +29 =49 -36   -21 Elo +/- 48   3fold=36 (32%)   1334s      mean=0.469 LLR=-0.34 [CONTINUE]
 115 games  +29 =50 -36   -21 Elo +/- 48   3fold=37 (32%)   1345s      mean=0.470 LLR=-0.34 [CONTINUE]
 116 games  +29 =50 -37   -24 Elo +/- 48   3fold=37 (32%)   1354s      mean=0.466 LLR=-0.38 [CONTINUE]
 117 games  +30 =50 -37   -21 Elo +/- 48   3fold=37 (32%)   1367s      mean=0.470 LLR=-0.34 [CONTINUE]
 118 games  +31 =50 -37   -18 Elo +/- 48   3fold=37 (31%)   1375s      mean=0.475 LLR=-0.30 [CONTINUE]
 119 games  +31 =51 -37   -18 Elo +/- 47   3fold=38 (32%)   1393s      mean=0.475 LLR=-0.30 [CONTINUE]
 120 games  +32 =51 -37   -14 Elo +/- 47   3fold=38 (32%)   1395s      mean=0.479 LLR=-0.26 [CONTINUE]
 121 games  +32 =52 -37   -14 Elo +/- 47   3fold=39 (32%)   1405s      mean=0.479 LLR=-0.26 [CONTINUE]
 122 games  +33 =52 -37   -11 Elo +/- 47   3fold=39 (32%)   1424s      mean=0.484 LLR=-0.22 [CONTINUE]
 123 games  +33 =53 -37   -11 Elo +/- 47   3fold=40 (33%)   1425s      mean=0.484 LLR=-0.22 [CONTINUE]
 124 games  +33 =54 -37   -11 Elo +/- 46   3fold=40 (32%)   1443s      mean=0.484 LLR=-0.22 [CONTINUE]
 125 games  +34 =54 -37   -8 Elo +/- 46   3fold=40 (32%)   1455s      mean=0.488 LLR=-0.18 [CONTINUE]
 126 games  +35 =54 -37   -6 Elo +/- 46   3fold=40 (32%)   1462s      mean=0.492 LLR=-0.14 [CONTINUE]
 127 games  +36 =54 -37   -3 Elo +/- 46   3fold=40 (31%)   1471s      mean=0.496 LLR=-0.10 [CONTINUE]
 128 games  +37 =54 -37   -0 Elo +/- 46   3fold=40 (31%)   1486s      mean=0.500 LLR=-0.06 [CONTINUE]
 129 games  +37 =54 -38   -3 Elo +/- 46   3fold=40 (31%)   1503s      mean=0.496 LLR=-0.10 [CONTINUE]
 130 games  +37 =55 -38   -3 Elo +/- 46   3fold=41 (32%)   1509s      mean=0.496 LLR=-0.10 [CONTINUE]
 131 games  +38 =55 -38   -0 Elo +/- 46   3fold=41 (31%)   1515s      mean=0.500 LLR=-0.06 [CONTINUE]
 132 games  +38 =56 -38   -0 Elo +/- 45   3fold=42 (32%)   1530s      mean=0.500 LLR=-0.06 [CONTINUE]
 133 games  +38 =57 -38   -0 Elo +/- 45   3fold=43 (32%)   1543s      mean=0.500 LLR=-0.06 [CONTINUE]
 134 games  +39 =57 -38   +3 Elo +/- 45   3fold=43 (32%)   1557s      mean=0.504 LLR=-0.02 [CONTINUE]
 135 games  +39 =58 -38   +3 Elo +/- 45   3fold=44 (33%)   1575s      mean=0.504 LLR=-0.02 [CONTINUE]
 136 games  +39 =58 -39   -0 Elo +/- 44   3fold=44 (32%)   1575s      mean=0.500 LLR=-0.06 [CONTINUE]
 137 games  +39 =58 -40   -3 Elo +/- 44   3fold=44 (32%)   1590s      mean=0.496 LLR=-0.10 [CONTINUE]
 138 games  +39 =59 -40   -3 Elo +/- 44   3fold=45 (33%)   1602s      mean=0.496 LLR=-0.10 [CONTINUE]
 139 games  +39 =60 -40   -2 Elo +/- 44   3fold=46 (33%)   1610s      mean=0.496 LLR=-0.11 [CONTINUE]
 140 games  +39 =60 -41   -5 Elo +/- 44   3fold=46 (33%)   1614s      mean=0.493 LLR=-0.15 [CONTINUE]
 141 games  +39 =61 -41   -5 Elo +/- 43   3fold=47 (33%)   1632s      mean=0.493 LLR=-0.15 [CONTINUE]
 142 games  +40 =61 -41   -2 Elo +/- 43   3fold=47 (33%)   1641s      mean=0.496 LLR=-0.11 [CONTINUE]
 143 games  +41 =61 -41   -0 Elo +/- 43   3fold=47 (33%)   1642s      mean=0.500 LLR=-0.07 [CONTINUE]
 144 games  +42 =61 -41   +2 Elo +/- 43   3fold=47 (33%)   1659s      mean=0.503 LLR=-0.03 [CONTINUE]
 145 games  +42 =61 -42   -0 Elo +/- 43   3fold=47 (32%)   1671s      mean=0.500 LLR=-0.07 [CONTINUE]
 146 games  +42 =62 -42   -0 Elo +/- 43   3fold=48 (33%)   1675s      mean=0.500 LLR=-0.07 [CONTINUE]
 147 games  +42 =63 -42   -0 Elo +/- 43   3fold=48 (33%)   1690s      mean=0.500 LLR=-0.07 [CONTINUE]
 148 games  +42 =64 -42   -0 Elo +/- 42   3fold=49 (33%)   1701s      mean=0.500 LLR=-0.07 [CONTINUE]
 149 games  +42 =65 -42   -0 Elo +/- 42   3fold=50 (34%)   1702s      mean=0.500 LLR=-0.07 [CONTINUE]
 150 games  +42 =65 -43   -2 Elo +/- 42   3fold=50 (33%)   1719s      mean=0.497 LLR=-0.11 [CONTINUE]
 151 games  +42 =66 -43   -2 Elo +/- 42   3fold=50 (33%)   1735s      mean=0.497 LLR=-0.11 [CONTINUE]
 152 games  +43 =66 -43   -0 Elo +/- 42   3fold=50 (33%)   1743s      mean=0.500 LLR=-0.07 [CONTINUE]
 153 games  +44 =66 -43   +2 Elo +/- 42   3fold=50 (33%)   1748s      mean=0.503 LLR=-0.03 [CONTINUE]
 154 games  +44 =67 -43   +2 Elo +/- 41   3fold=50 (32%)   1770s      mean=0.503 LLR=-0.03 [CONTINUE]
 155 games  +44 =68 -43   +2 Elo +/- 41   3fold=51 (33%)   1773s      mean=0.503 LLR=-0.03 [CONTINUE]
 156 games  +44 =68 -44   -0 Elo +/- 41   3fold=51 (33%)   1778s      mean=0.500 LLR=-0.07 [CONTINUE]
 157 games  +45 =68 -44   +2 Elo +/- 41   3fold=51 (32%)   1804s      mean=0.503 LLR=-0.03 [CONTINUE]
 158 games  +45 =68 -45   -0 Elo +/- 41   3fold=51 (32%)   1806s      mean=0.500 LLR=-0.07 [CONTINUE]
 159 games  +45 =68 -46   -2 Elo +/- 41   3fold=51 (32%)   1813s      mean=0.497 LLR=-0.11 [CONTINUE]
 160 games  +45 =69 -46   -2 Elo +/- 41   3fold=52 (32%)   1830s      mean=0.497 LLR=-0.12 [CONTINUE]
 161 games  +45 =70 -46   -2 Elo +/- 41   3fold=52 (32%)   1838s      mean=0.497 LLR=-0.12 [CONTINUE]
 162 games  +45 =71 -46   -2 Elo +/- 40   3fold=53 (33%)   1839s      mean=0.497 LLR=-0.12 [CONTINUE]
 163 games  +45 =72 -46   -2 Elo +/- 40   3fold=54 (33%)   1865s      mean=0.497 LLR=-0.12 [CONTINUE]
 164 games  +45 =73 -46   -2 Elo +/- 40   3fold=54 (33%)   1867s      mean=0.497 LLR=-0.12 [CONTINUE]
 165 games  +45 =74 -46   -2 Elo +/- 40   3fold=54 (33%)   1888s      mean=0.497 LLR=-0.12 [CONTINUE]
 166 games  +45 =74 -47   -4 Elo +/- 40   3fold=54 (33%)   1891s      mean=0.494 LLR=-0.16 [CONTINUE]
 167 games  +45 =74 -48   -6 Elo +/- 39   3fold=54 (32%)   1905s      mean=0.491 LLR=-0.20 [CONTINUE]
 168 games  +45 =75 -48   -6 Elo +/- 39   3fold=55 (33%)   1914s      mean=0.491 LLR=-0.21 [CONTINUE]
 169 games  +46 =75 -48   -4 Elo +/- 39   3fold=55 (33%)   1919s      mean=0.494 LLR=-0.16 [CONTINUE]
 170 games  +46 =75 -49   -6 Elo +/- 39   3fold=55 (32%)   1938s      mean=0.491 LLR=-0.20 [CONTINUE]
 171 games  +47 =75 -49   -4 Elo +/- 39   3fold=55 (32%)   1943s      mean=0.494 LLR=-0.16 [CONTINUE]
 172 games  +47 =75 -50   -6 Elo +/- 39   3fold=55 (32%)   1947s      mean=0.491 LLR=-0.20 [CONTINUE]
 173 games  +47 =75 -51   -8 Elo +/- 39   3fold=55 (32%)   1974s      mean=0.488 LLR=-0.24 [CONTINUE]
 174 games  +48 =75 -51   -6 Elo +/- 39   3fold=55 (32%)   1977s      mean=0.491 LLR=-0.20 [CONTINUE]
 175 games  +49 =75 -51   -4 Elo +/- 39   3fold=55 (31%)   1978s      mean=0.494 LLR=-0.16 [CONTINUE]
 176 games  +49 =76 -51   -4 Elo +/- 39   3fold=55 (31%)   2005s      mean=0.494 LLR=-0.16 [CONTINUE]
 177 games  +50 =76 -51   -2 Elo +/- 39   3fold=55 (31%)   2009s      mean=0.497 LLR=-0.12 [CONTINUE]
 178 games  +50 =77 -51   -2 Elo +/- 39   3fold=56 (31%)   2015s      mean=0.497 LLR=-0.12 [CONTINUE]
 179 games  +50 =78 -51   -2 Elo +/- 38   3fold=57 (32%)   2037s      mean=0.497 LLR=-0.12 [CONTINUE]
 180 games  +50 =79 -51   -2 Elo +/- 38   3fold=58 (32%)   2037s      mean=0.497 LLR=-0.13 [CONTINUE]
 181 games  +50 =79 -52   -4 Elo +/- 38   3fold=58 (32%)   2039s      mean=0.494 LLR=-0.17 [CONTINUE]
 182 games  +51 =79 -52   -2 Elo +/- 38   3fold=58 (32%)   2068s      mean=0.497 LLR=-0.13 [CONTINUE]
 183 games  +51 =79 -53   -4 Elo +/- 38   3fold=58 (32%)   2069s      mean=0.495 LLR=-0.17 [CONTINUE]
 184 games  +51 =79 -54   -6 Elo +/- 38   3fold=58 (32%)   2070s      mean=0.492 LLR=-0.21 [CONTINUE]
 185 games  +51 =79 -55   -8 Elo +/- 38   3fold=58 (31%)   2097s      mean=0.489 LLR=-0.25 [CONTINUE]
 186 games  +52 =79 -55   -6 Elo +/- 38   3fold=58 (31%)   2098s      mean=0.492 LLR=-0.21 [CONTINUE]
 187 games  +52 =79 -56   -7 Elo +/- 38   3fold=58 (31%)   2103s      mean=0.489 LLR=-0.25 [CONTINUE]
 188 games  +53 =79 -56   -6 Elo +/- 38   3fold=58 (31%)   2128s      mean=0.492 LLR=-0.21 [CONTINUE]
 189 games  +53 =80 -56   -6 Elo +/- 38   3fold=59 (31%)   2129s      mean=0.492 LLR=-0.21 [CONTINUE]
 190 games  +54 =80 -56   -4 Elo +/- 38   3fold=59 (31%)   2135s      mean=0.495 LLR=-0.17 [CONTINUE]
 191 games  +54 =81 -56   -4 Elo +/- 38   3fold=60 (31%)   2158s      mean=0.495 LLR=-0.17 [CONTINUE]
 192 games  +54 =82 -56   -4 Elo +/- 37   3fold=60 (31%)   2167s      mean=0.495 LLR=-0.17 [CONTINUE]
 193 games  +54 =82 -57   -5 Elo +/- 37   3fold=60 (31%)   2169s      mean=0.492 LLR=-0.21 [CONTINUE]
 194 games  +54 =82 -58   -7 Elo +/- 37   3fold=60 (31%)   2192s      mean=0.490 LLR=-0.25 [CONTINUE]
 195 games  +55 =82 -58   -5 Elo +/- 37   3fold=60 (31%)   2198s      mean=0.492 LLR=-0.21 [CONTINUE]
 196 games  +55 =83 -58   -5 Elo +/- 37   3fold=60 (31%)   2201s      mean=0.492 LLR=-0.21 [CONTINUE]
 197 games  +55 =84 -58   -5 Elo +/- 37   3fold=61 (31%)   2218s      mean=0.492 LLR=-0.21 [CONTINUE]
 198 games  +55 =84 -59   -7 Elo +/- 37   3fold=61 (31%)   2228s      mean=0.490 LLR=-0.25 [CONTINUE]
 199 games  +56 =84 -59   -5 Elo +/- 37   3fold=61 (31%)   2229s      mean=0.492 LLR=-0.21 [CONTINUE]
 200 games  +56 =85 -59   -5 Elo +/- 37   3fold=61 (30%)   2258s      mean=0.492 LLR=-0.21 [CONTINUE]
 201 games  +57 =85 -59   -3 Elo +/- 37   3fold=61 (30%)   2259s      mean=0.495 LLR=-0.17 [CONTINUE]
 202 games  +57 =85 -60   -5 Elo +/- 37   3fold=61 (30%)   2259s      mean=0.493 LLR=-0.21 [CONTINUE]
 203 games  +58 =85 -60   -3 Elo +/- 37   3fold=61 (30%)   2289s      mean=0.495 LLR=-0.17 [CONTINUE]
 204 games  +59 =85 -60   -2 Elo +/- 37   3fold=61 (30%)   2289s      mean=0.498 LLR=-0.13 [CONTINUE]
 205 games  +60 =85 -60   -0 Elo +/- 37   3fold=61 (30%)   2297s      mean=0.500 LLR=-0.09 [CONTINUE]
 206 games  +60 =86 -60   -0 Elo +/- 36   3fold=62 (30%)   2319s      mean=0.500 LLR=-0.09 [CONTINUE]
 207 games  +60 =86 -61   -2 Elo +/- 36   3fold=62 (30%)   2325s      mean=0.498 LLR=-0.13 [CONTINUE]
 208 games  +60 =87 -61   -2 Elo +/- 36   3fold=63 (30%)   2334s      mean=0.498 LLR=-0.13 [CONTINUE]
 209 games  +60 =87 -62   -3 Elo +/- 36   3fold=63 (30%)   2347s      mean=0.495 LLR=-0.17 [CONTINUE]
