gauntlet: agent@engine vs agent@checkpoints/repfix | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +1 =0 -0   +1600 Elo +/- 0   3fold=0 (0%)   132s      mean=1.000 LLR=+0.00 [CONTINUE]
  55 games  +20 =24 -11   +57 Elo +/- 70   3fold=18 (33%)   684s      mean=0.582 LLR=+0.36 [CONTINUE]
  56 games  +21 =24 -11   +63 Elo +/- 70   3fold=18 (32%)   697s      mean=0.589 LLR=+0.40 [CONTINUE]
  57 games  +21 =25 -11   +62 Elo +/- 69   3fold=19 (33%)   697s      mean=0.588 LLR=+0.41 [CONTINUE]
  58 games  +21 =25 -12   +54 Elo +/- 69   3fold=19 (33%)   715s      mean=0.578 LLR=+0.35 [CONTINUE]
  59 games  +21 =26 -12   +53 Elo +/- 67   3fold=20 (34%)   725s      mean=0.576 LLR=+0.36 [CONTINUE]
  60 games  +21 =26 -13   +47 Elo +/- 67   3fold=20 (33%)   729s      mean=0.567 LLR=+0.31 [CONTINUE]
  61 games  +21 =26 -14   +40 Elo +/- 67   3fold=20 (33%)   747s      mean=0.557 LLR=+0.26 [CONTINUE]
  62 games  +21 =27 -14   +39 Elo +/- 66   3fold=21 (34%)   749s      mean=0.556 LLR=+0.26 [CONTINUE]
  63 games  +22 =27 -14   +44 Elo +/- 66   3fold=21 (33%)   758s      mean=0.563 LLR=+0.30 [CONTINUE]
  64 games  +22 =27 -15   +38 Elo +/- 66   3fold=21 (33%)   780s      mean=0.555 LLR=+0.25 [CONTINUE]
  65 games  +22 =27 -16   +32 Elo +/- 65   3fold=21 (32%)   787s      mean=0.546 LLR=+0.21 [CONTINUE]
  66 games  +23 =27 -16   +37 Elo +/- 65   3fold=21 (32%)   787s      mean=0.553 LLR=+0.25 [CONTINUE]
  67 games  +23 =28 -16   +36 Elo +/- 64   3fold=21 (31%)   812s      mean=0.552 LLR=+0.25 [CONTINUE]
  68 games  +23 =29 -16   +36 Elo +/- 63   3fold=21 (31%)   822s      mean=0.551 LLR=+0.25 [CONTINUE]
  69 games  +23 =30 -16   +35 Elo +/- 62   3fold=21 (30%)   824s      mean=0.551 LLR=+0.26 [CONTINUE]
  70 games  +23 =30 -17   +30 Elo +/- 62   3fold=21 (30%)   843s      mean=0.543 LLR=+0.21 [CONTINUE]
  71 games  +24 =30 -17   +34 Elo +/- 62   3fold=21 (30%)   852s      mean=0.549 LLR=+0.25 [CONTINUE]
  72 games  +24 =30 -18   +29 Elo +/- 62   3fold=21 (29%)   854s      mean=0.542 LLR=+0.21 [CONTINUE]
  73 games  +24 =30 -19   +24 Elo +/- 62   3fold=21 (29%)   880s      mean=0.534 LLR=+0.16 [CONTINUE]
  74 games  +24 =31 -19   +24 Elo +/- 61   3fold=21 (28%)   884s      mean=0.534 LLR=+0.17 [CONTINUE]
  75 games  +24 =32 -19   +23 Elo +/- 60   3fold=21 (28%)   899s      mean=0.533 LLR=+0.17 [CONTINUE]
  76 games  +24 =33 -19   +23 Elo +/- 59   3fold=22 (29%)   914s      mean=0.533 LLR=+0.17 [CONTINUE]
  77 games  +25 =33 -19   +27 Elo +/- 59   3fold=22 (29%)   914s      mean=0.539 LLR=+0.21 [CONTINUE]
  78 games  +26 =33 -19   +31 Elo +/- 59   3fold=22 (28%)   940s      mean=0.545 LLR=+0.25 [CONTINUE]
  79 games  +26 =34 -19   +31 Elo +/- 58   3fold=23 (29%)   942s      mean=0.544 LLR=+0.25 [CONTINUE]
  80 games  +26 =35 -19   +30 Elo +/- 58   3fold=24 (30%)   947s      mean=0.544 LLR=+0.25 [CONTINUE]
  81 games  +26 =36 -19   +30 Elo +/- 57   3fold=25 (31%)   966s      mean=0.543 LLR=+0.25 [CONTINUE]
  82 games  +26 =37 -19   +30 Elo +/- 56   3fold=26 (32%)   980s      mean=0.543 LLR=+0.26 [CONTINUE]
  83 games  +26 =38 -19   +29 Elo +/- 56   3fold=27 (33%)   981s      mean=0.542 LLR=+0.26 [CONTINUE]
  84 games  +27 =38 -19   +33 Elo +/- 56   3fold=27 (32%)   997s      mean=0.548 LLR=+0.30 [CONTINUE]
  85 games  +27 =39 -19   +33 Elo +/- 55   3fold=28 (33%)   1006s      mean=0.547 LLR=+0.30 [CONTINUE]
  86 games  +28 =39 -19   +36 Elo +/- 55   3fold=28 (33%)   1013s      mean=0.552 LLR=+0.34 [CONTINUE]
  87 games  +29 =39 -19   +40 Elo +/- 55   3fold=28 (32%)   1023s      mean=0.557 LLR=+0.38 [CONTINUE]
  88 games  +29 =40 -19   +40 Elo +/- 54   3fold=29 (33%)   1037s      mean=0.557 LLR=+0.39 [CONTINUE]
  89 games  +29 =41 -19   +39 Elo +/- 53   3fold=30 (34%)   1052s      mean=0.556 LLR=+0.39 [CONTINUE]
  90 games  +29 =42 -19   +39 Elo +/- 53   3fold=31 (34%)   1052s      mean=0.556 LLR=+0.40 [CONTINUE]
  91 games  +29 =43 -19   +38 Elo +/- 52   3fold=31 (34%)   1075s      mean=0.555 LLR=+0.40 [CONTINUE]
  92 games  +30 =43 -19   +42 Elo +/- 52   3fold=31 (34%)   1083s      mean=0.560 LLR=+0.44 [CONTINUE]
  93 games  +30 =44 -19   +41 Elo +/- 52   3fold=31 (33%)   1092s      mean=0.559 LLR=+0.45 [CONTINUE]
  94 games  +30 =44 -20   +37 Elo +/- 52   3fold=31 (33%)   1107s      mean=0.553 LLR=+0.39 [CONTINUE]
  95 games  +30 =45 -20   +37 Elo +/- 51   3fold=32 (34%)   1114s      mean=0.553 LLR=+0.40 [CONTINUE]
  96 games  +30 =46 -20   +36 Elo +/- 51   3fold=33 (34%)   1124s      mean=0.552 LLR=+0.40 [CONTINUE]
  97 games  +31 =46 -20   +40 Elo +/- 51   3fold=33 (34%)   1140s      mean=0.557 LLR=+0.44 [CONTINUE]
  98 games  +31 =46 -21   +36 Elo +/- 50   3fold=33 (34%)   1146s      mean=0.551 LLR=+0.39 [CONTINUE]
  99 games  +32 =46 -21   +39 Elo +/- 50   3fold=33 (33%)   1153s      mean=0.556 LLR=+0.43 [CONTINUE]
 100 games  +32 =47 -21   +38 Elo +/- 50   3fold=33 (33%)   1170s      mean=0.555 LLR=+0.44 [CONTINUE]
 101 games  +33 =47 -21   +41 Elo +/- 50   3fold=33 (33%)   1186s      mean=0.559 LLR=+0.48 [CONTINUE]
 102 games  +34 =47 -21   +45 Elo +/- 50   3fold=33 (32%)   1189s      mean=0.564 LLR=+0.52 [CONTINUE]
 103 games  +35 =47 -21   +48 Elo +/- 50   3fold=33 (32%)   1198s      mean=0.568 LLR=+0.56 [CONTINUE]
 104 games  +36 =47 -21   +50 Elo +/- 50   3fold=33 (32%)   1217s      mean=0.572 LLR=+0.60 [CONTINUE]
 105 games  +36 =47 -22   +47 Elo +/- 50   3fold=33 (31%)   1217s      mean=0.567 LLR=+0.55 [CONTINUE]
 106 games  +36 =47 -23   +43 Elo +/- 50   3fold=33 (31%)   1225s      mean=0.561 LLR=+0.50 [CONTINUE]
 107 games  +36 =48 -23   +42 Elo +/- 49   3fold=34 (32%)   1245s      mean=0.561 LLR=+0.50 [CONTINUE]
 108 games  +36 =49 -23   +42 Elo +/- 49   3fold=35 (32%)   1249s      mean=0.560 LLR=+0.51 [CONTINUE]
 109 games  +37 =49 -23   +45 Elo +/- 49   3fold=35 (32%)   1255s      mean=0.564 LLR=+0.55 [CONTINUE]
 110 games  +37 =50 -23   +44 Elo +/- 48   3fold=36 (33%)   1274s      mean=0.564 LLR=+0.55 [CONTINUE]
 111 games  +37 =50 -24   +41 Elo +/- 48   3fold=36 (32%)   1285s      mean=0.559 LLR=+0.50 [CONTINUE]
 112 games  +37 =51 -24   +41 Elo +/- 48   3fold=37 (33%)   1290s      mean=0.558 LLR=+0.51 [CONTINUE]
 113 games  +37 =52 -24   +40 Elo +/- 47   3fold=38 (34%)   1302s      mean=0.558 LLR=+0.51 [CONTINUE]
 114 games  +38 =52 -24   +43 Elo +/- 47   3fold=38 (33%)   1318s      mean=0.561 LLR=+0.55 [CONTINUE]
 115 games  +38 =53 -24   +43 Elo +/- 47   3fold=39 (34%)   1321s      mean=0.561 LLR=+0.56 [CONTINUE]
 116 games  +38 =53 -25   +39 Elo +/- 47   3fold=39 (34%)   1326s      mean=0.556 LLR=+0.51 [CONTINUE]
 117 games  +38 =54 -25   +39 Elo +/- 47   3fold=40 (34%)   1345s      mean=0.556 LLR=+0.51 [CONTINUE]
 118 games  +38 =55 -25   +38 Elo +/- 46   3fold=41 (35%)   1355s      mean=0.555 LLR=+0.51 [CONTINUE]
 119 games  +38 =55 -26   +35 Elo +/- 46   3fold=41 (34%)   1356s      mean=0.550 LLR=+0.46 [CONTINUE]
 120 games  +38 =55 -27   +32 Elo +/- 46   3fold=41 (34%)   1380s      mean=0.546 LLR=+0.42 [CONTINUE]
 121 games  +38 =56 -27   +32 Elo +/- 46   3fold=42 (35%)   1383s      mean=0.545 LLR=+0.42 [CONTINUE]
 122 games  +39 =56 -27   +34 Elo +/- 46   3fold=42 (34%)   1386s      mean=0.549 LLR=+0.46 [CONTINUE]
 123 games  +40 =56 -27   +37 Elo +/- 46   3fold=42 (34%)   1411s      mean=0.553 LLR=+0.50 [CONTINUE]
 124 games  +40 =56 -28   +34 Elo +/- 46   3fold=42 (34%)   1415s      mean=0.548 LLR=+0.45 [CONTINUE]
 125 games  +40 =57 -28   +33 Elo +/- 45   3fold=43 (34%)   1417s      mean=0.548 LLR=+0.45 [CONTINUE]
 126 games  +40 =58 -28   +33 Elo +/- 45   3fold=44 (35%)   1444s      mean=0.548 LLR=+0.46 [CONTINUE]
 127 games  +41 =58 -28   +36 Elo +/- 45   3fold=44 (35%)   1447s      mean=0.551 LLR=+0.50 [CONTINUE]
 128 games  +42 =58 -28   +38 Elo +/- 45   3fold=44 (34%)   1447s      mean=0.555 LLR=+0.54 [CONTINUE]
 129 games  +42 =58 -29   +35 Elo +/- 45   3fold=44 (34%)   1471s      mean=0.550 LLR=+0.49 [CONTINUE]
 130 games  +42 =58 -30   +32 Elo +/- 45   3fold=44 (34%)   1473s      mean=0.546 LLR=+0.44 [CONTINUE]
 131 games  +42 =59 -30   +32 Elo +/- 44   3fold=44 (34%)   1487s      mean=0.546 LLR=+0.45 [CONTINUE]
 132 games  +42 =60 -30   +32 Elo +/- 44   3fold=45 (34%)   1495s      mean=0.545 LLR=+0.45 [CONTINUE]
 133 games  +42 =61 -30   +31 Elo +/- 44   3fold=46 (35%)   1500s      mean=0.545 LLR=+0.45 [CONTINUE]
 134 games  +42 =62 -30   +31 Elo +/- 43   3fold=47 (35%)   1515s      mean=0.545 LLR=+0.45 [CONTINUE]
 135 games  +42 =62 -31   +28 Elo +/- 43   3fold=47 (35%)   1528s      mean=0.541 LLR=+0.41 [CONTINUE]
 136 games  +42 =62 -32   +26 Elo +/- 43   3fold=47 (35%)   1533s      mean=0.537 LLR=+0.36 [CONTINUE]
 137 games  +42 =63 -32   +25 Elo +/- 43   3fold=48 (35%)   1544s      mean=0.536 LLR=+0.36 [CONTINUE]
 138 games  +43 =63 -32   +28 Elo +/- 43   3fold=48 (35%)   1559s      mean=0.540 LLR=+0.40 [CONTINUE]
 139 games  +43 =63 -33   +25 Elo +/- 43   3fold=48 (35%)   1563s      mean=0.536 LLR=+0.36 [CONTINUE]
 140 games  +43 =64 -33   +25 Elo +/- 43   3fold=49 (35%)   1578s      mean=0.536 LLR=+0.36 [CONTINUE]
 141 games  +44 =64 -33   +27 Elo +/- 43   3fold=49 (35%)   1592s      mean=0.539 LLR=+0.40 [CONTINUE]
 142 games  +45 =64 -33   +29 Elo +/- 43   3fold=49 (35%)   1597s      mean=0.542 LLR=+0.44 [CONTINUE]
 143 games  +45 =65 -33   +29 Elo +/- 42   3fold=50 (35%)   1608s      mean=0.542 LLR=+0.44 [CONTINUE]
 144 games  +46 =65 -33   +31 Elo +/- 42   3fold=50 (35%)   1625s      mean=0.545 LLR=+0.48 [CONTINUE]
 145 games  +47 =65 -33   +34 Elo +/- 42   3fold=50 (34%)   1632s      mean=0.548 LLR=+0.52 [CONTINUE]
 146 games  +48 =65 -33   +36 Elo +/- 42   3fold=50 (34%)   1638s      mean=0.551 LLR=+0.56 [CONTINUE]
 147 games  +48 =66 -33   +36 Elo +/- 42   3fold=50 (34%)   1657s      mean=0.551 LLR=+0.57 [CONTINUE]
 148 games  +48 =67 -33   +35 Elo +/- 42   3fold=51 (34%)   1659s      mean=0.551 LLR=+0.57 [CONTINUE]
 149 games  +48 =68 -33   +35 Elo +/- 41   3fold=51 (34%)   1677s      mean=0.550 LLR=+0.57 [CONTINUE]
 150 games  +48 =69 -33   +35 Elo +/- 41   3fold=52 (35%)   1687s      mean=0.550 LLR=+0.58 [CONTINUE]
 151 games  +49 =69 -33   +37 Elo +/- 41   3fold=52 (34%)   1692s      mean=0.553 LLR=+0.62 [CONTINUE]
 152 games  +50 =69 -33   +39 Elo +/- 41   3fold=52 (34%)   1712s      mean=0.556 LLR=+0.66 [CONTINUE]
 153 games  +50 =69 -34   +36 Elo +/- 41   3fold=52 (34%)   1715s      mean=0.552 LLR=+0.61 [CONTINUE]
 154 games  +50 =70 -34   +36 Elo +/- 41   3fold=53 (34%)   1721s      mean=0.552 LLR=+0.61 [CONTINUE]
 155 games  +50 =71 -34   +36 Elo +/- 40   3fold=54 (35%)   1742s      mean=0.552 LLR=+0.62 [CONTINUE]
 156 games  +51 =71 -34   +38 Elo +/- 40   3fold=54 (35%)   1749s      mean=0.554 LLR=+0.66 [CONTINUE]
 157 games  +52 =71 -34   +40 Elo +/- 40   3fold=54 (34%)   1750s      mean=0.557 LLR=+0.70 [CONTINUE]
 158 games  +52 =72 -34   +40 Elo +/- 40   3fold=55 (35%)   1770s      mean=0.557 LLR=+0.70 [CONTINUE]
 159 games  +52 =73 -34   +40 Elo +/- 40   3fold=56 (35%)   1775s      mean=0.557 LLR=+0.70 [CONTINUE]
 160 games  +52 =74 -34   +39 Elo +/- 40   3fold=57 (36%)   1776s      mean=0.556 LLR=+0.71 [CONTINUE]
 161 games  +53 =74 -34   +41 Elo +/- 40   3fold=57 (35%)   1802s      mean=0.559 LLR=+0.75 [CONTINUE]
 162 games  +53 =74 -35   +39 Elo +/- 40   3fold=57 (35%)   1805s      mean=0.556 LLR=+0.70 [CONTINUE]
 163 games  +53 =75 -35   +39 Elo +/- 39   3fold=58 (36%)   1807s      mean=0.555 LLR=+0.70 [CONTINUE]
 164 games  +53 =75 -36   +36 Elo +/- 39   3fold=58 (35%)   1830s      mean=0.552 LLR=+0.65 [CONTINUE]
 165 games  +53 =76 -36   +36 Elo +/- 39   3fold=59 (36%)   1833s      mean=0.552 LLR=+0.66 [CONTINUE]
 166 games  +53 =77 -36   +36 Elo +/- 39   3fold=60 (36%)   1841s      mean=0.551 LLR=+0.66 [CONTINUE]
 167 games  +54 =77 -36   +38 Elo +/- 39   3fold=60 (36%)   1862s      mean=0.554 LLR=+0.70 [CONTINUE]
 168 games  +54 =78 -36   +37 Elo +/- 39   3fold=61 (36%)   1867s      mean=0.554 LLR=+0.71 [CONTINUE]
 169 games  +54 =79 -36   +37 Elo +/- 38   3fold=62 (37%)   1869s      mean=0.553 LLR=+0.71 [CONTINUE]
 170 games  +55 =79 -36   +39 Elo +/- 38   3fold=62 (36%)   1893s      mean=0.556 LLR=+0.75 [CONTINUE]
 171 games  +56 =79 -36   +41 Elo +/- 38   3fold=62 (36%)   1895s      mean=0.558 LLR=+0.79 [CONTINUE]
 172 games  +56 =79 -37   +39 Elo +/- 38   3fold=62 (36%)   1897s      mean=0.555 LLR=+0.74 [CONTINUE]
 173 games  +57 =79 -37   +40 Elo +/- 38   3fold=62 (36%)   1921s      mean=0.558 LLR=+0.78 [CONTINUE]
 174 games  +57 =80 -37   +40 Elo +/- 38   3fold=63 (36%)   1924s      mean=0.557 LLR=+0.79 [CONTINUE]
 175 games  +58 =80 -37   +42 Elo +/- 38   3fold=63 (36%)   1926s      mean=0.560 LLR=+0.83 [CONTINUE]
 176 games  +58 =81 -37   +42 Elo +/- 38   3fold=64 (36%)   1955s      mean=0.560 LLR=+0.83 [CONTINUE]
 177 games  +58 =81 -38   +39 Elo +/- 38   3fold=64 (36%)   1956s      mean=0.556 LLR=+0.78 [CONTINUE]
 178 games  +59 =81 -38   +41 Elo +/- 38   3fold=64 (36%)   1963s      mean=0.559 LLR=+0.82 [CONTINUE]
 179 games  +59 =82 -38   +41 Elo +/- 38   3fold=65 (36%)   1985s      mean=0.559 LLR=+0.83 [CONTINUE]
 180 games  +60 =82 -38   +43 Elo +/- 38   3fold=65 (36%)   1985s      mean=0.561 LLR=+0.87 [CONTINUE]
 181 games  +60 =83 -38   +42 Elo +/- 37   3fold=66 (36%)   2001s      mean=0.561 LLR=+0.87 [CONTINUE]
 182 games  +60 =84 -38   +42 Elo +/- 37   3fold=67 (37%)   2007s      mean=0.560 LLR=+0.87 [CONTINUE]
 183 games  +60 =85 -38   +42 Elo +/- 37   3fold=68 (37%)   2009s      mean=0.560 LLR=+0.88 [CONTINUE]
 184 games  +61 =85 -38   +44 Elo +/- 37   3fold=68 (37%)   2029s      mean=0.562 LLR=+0.92 [CONTINUE]
 185 games  +62 =85 -38   +45 Elo +/- 37   3fold=68 (37%)   2040s      mean=0.565 LLR=+0.96 [CONTINUE]
 186 games  +62 =86 -38   +45 Elo +/- 37   3fold=69 (37%)   2047s      mean=0.565 LLR=+0.97 [CONTINUE]
 187 games  +62 =87 -38   +45 Elo +/- 37   3fold=70 (37%)   2058s      mean=0.564 LLR=+0.97 [CONTINUE]
 188 games  +62 =87 -39   +43 Elo +/- 37   3fold=70 (37%)   2071s      mean=0.561 LLR=+0.92 [CONTINUE]
 189 games  +62 =87 -40   +41 Elo +/- 37   3fold=70 (37%)   2074s      mean=0.558 LLR=+0.87 [CONTINUE]
 190 games  +62 =87 -41   +39 Elo +/- 37   3fold=70 (37%)   2087s      mean=0.555 LLR=+0.82 [CONTINUE]
 191 games  +62 =88 -41   +38 Elo +/- 36   3fold=71 (37%)   2101s      mean=0.555 LLR=+0.82 [CONTINUE]
 192 games  +62 =88 -42   +36 Elo +/- 36   3fold=71 (37%)   2106s      mean=0.552 LLR=+0.77 [CONTINUE]
 193 games  +62 =88 -43   +34 Elo +/- 36   3fold=71 (37%)   2119s      mean=0.549 LLR=+0.72 [CONTINUE]
 194 games  +62 =88 -44   +32 Elo +/- 36   3fold=71 (37%)   2133s      mean=0.546 LLR=+0.67 [CONTINUE]
 195 games  +62 =88 -45   +30 Elo +/- 36   3fold=71 (36%)   2133s      mean=0.544 LLR=+0.63 [CONTINUE]
 196 games  +62 =89 -45   +30 Elo +/- 36   3fold=72 (37%)   2149s      mean=0.543 LLR=+0.63 [CONTINUE]
 197 games  +62 =89 -46   +28 Elo +/- 36   3fold=72 (37%)   2161s      mean=0.541 LLR=+0.58 [CONTINUE]
 198 games  +62 =90 -46   +28 Elo +/- 36   3fold=73 (37%)   2163s      mean=0.540 LLR=+0.59 [CONTINUE]
 199 games  +62 =90 -47   +26 Elo +/- 36   3fold=73 (37%)   2174s      mean=0.538 LLR=+0.54 [CONTINUE]
 200 games  +62 =91 -47   +26 Elo +/- 36   3fold=74 (37%)   2190s      mean=0.537 LLR=+0.54 [CONTINUE]
 201 games  +62 =92 -47   +26 Elo +/- 36   3fold=74 (37%)   2194s      mean=0.537 LLR=+0.54 [CONTINUE]
 202 games  +62 =92 -48   +24 Elo +/- 35   3fold=74 (37%)   2202s      mean=0.535 LLR=+0.50 [CONTINUE]
 203 games  +62 =93 -48   +24 Elo +/- 35   3fold=75 (37%)   2215s      mean=0.534 LLR=+0.50 [CONTINUE]
 204 games  +62 =94 -48   +24 Elo +/- 35   3fold=76 (37%)   2221s      mean=0.534 LLR=+0.50 [CONTINUE]
 205 games  +62 =95 -48   +24 Elo +/- 35   3fold=77 (38%)   2240s      mean=0.534 LLR=+0.50 [CONTINUE]
 206 games  +62 =96 -48   +24 Elo +/- 35   3fold=78 (38%)   2243s      mean=0.534 LLR=+0.51 [CONTINUE]
 207 games  +63 =96 -48   +25 Elo +/- 35   3fold=78 (38%)   2253s      mean=0.536 LLR=+0.55 [CONTINUE]
 208 games  +63 =96 -49   +23 Elo +/- 35   3fold=78 (38%)   2267s      mean=0.534 LLR=+0.50 [CONTINUE]
 209 games  +64 =96 -49   +25 Elo +/- 35   3fold=78 (37%)   2272s      mean=0.536 LLR=+0.54 [CONTINUE]
