gauntlet: agent@engine vs agent@checkpoints/v1 | SPRT elo0=0.0 elo1=8.0 alpha=0.025 beta=0.025 max_games=1500 | 10000ms+100ms | 3 workers
   1 games  +0 =1 -0   -0 Elo +/- 0   128s      mean=0.500 LLR=+0.00 [CONTINUE]
  25 games  +5 =20 -0   +70 Elo +/- 57   347s      mean=0.600 LLR=+0.68 [CONTINUE]
  26 games  +5 =21 -0   +68 Elo +/- 55   353s      mean=0.596 LLR=+0.70 [CONTINUE]
  27 games  +5 =22 -0   +65 Elo +/- 53   357s      mean=0.593 LLR=+0.72 [CONTINUE]
  28 games  +6 =22 -0   +76 Elo +/- 56   373s      mean=0.607 LLR=+0.78 [CONTINUE]
  29 games  +6 =23 -0   +73 Elo +/- 54   377s      mean=0.603 LLR=+0.79 [CONTINUE]
  30 games  +6 =23 -1   +58 Elo +/- 59   388s      mean=0.583 LLR=+0.52 [CONTINUE]
  31 games  +6 =24 -1   +57 Elo +/- 57   400s      mean=0.581 LLR=+0.54 [CONTINUE]
  32 games  +6 =24 -2   +44 Elo +/- 60   403s      mean=0.562 LLR=+0.36 [CONTINUE]
  33 games  +6 =25 -2   +42 Elo +/- 58   412s      mean=0.561 LLR=+0.37 [CONTINUE]
  34 games  +6 =25 -3   +31 Elo +/- 60   428s      mean=0.544 LLR=+0.23 [CONTINUE]
  35 games  +6 =26 -3   +30 Elo +/- 59   429s      mean=0.543 LLR=+0.24 [CONTINUE]
  36 games  +6 =27 -3   +29 Elo +/- 57   435s      mean=0.542 LLR=+0.24 [CONTINUE]
  37 games  +6 =27 -4   +19 Elo +/- 59   457s      mean=0.527 LLR=+0.14 [CONTINUE]
  38 games  +6 =28 -4   +18 Elo +/- 57   460s      mean=0.526 LLR=+0.14 [CONTINUE]
  39 games  +6 =28 -5   +9 Elo +/- 58   465s      mean=0.513 LLR=+0.05 [CONTINUE]
  40 games  +6 =29 -5   +9 Elo +/- 57   479s      mean=0.512 LLR=+0.05 [CONTINUE]
  41 games  +6 =30 -5   +8 Elo +/- 56   485s      mean=0.512 LLR=+0.05 [CONTINUE]
  42 games  +6 =31 -5   +8 Elo +/- 54   487s      mean=0.512 LLR=+0.05 [CONTINUE]
  43 games  +6 =32 -5   +8 Elo +/- 53   504s      mean=0.512 LLR=+0.05 [CONTINUE]
  44 games  +6 =33 -5   +8 Elo +/- 52   511s      mean=0.511 LLR=+0.05 [CONTINUE]
  45 games  +6 =34 -5   +8 Elo +/- 51   519s      mean=0.511 LLR=+0.05 [CONTINUE]
  46 games  +6 =34 -6   -0 Elo +/- 52   532s      mean=0.500 LLR=-0.05 [CONTINUE]
  47 games  +6 =34 -7   -7 Elo +/- 53   541s      mean=0.489 LLR=-0.13 [CONTINUE]
  48 games  +7 =34 -7   -0 Elo +/- 54   549s      mean=0.500 LLR=-0.04 [CONTINUE]
  49 games  +7 =35 -7   -0 Elo +/- 52   558s      mean=0.500 LLR=-0.05 [CONTINUE]
  50 games  +7 =35 -8   -7 Elo +/- 53   573s      mean=0.490 LLR=-0.12 [CONTINUE]
  51 games  +7 =36 -8   -7 Elo +/- 52   575s      mean=0.490 LLR=-0.12 [CONTINUE]
  52 games  +7 =37 -8   -7 Elo +/- 51   586s      mean=0.490 LLR=-0.13 [CONTINUE]
  53 games  +7 =38 -8   -7 Elo +/- 50   599s      mean=0.491 LLR=-0.13 [CONTINUE]
  54 games  +7 =39 -8   -6 Elo +/- 49   601s      mean=0.491 LLR=-0.13 [CONTINUE]
  55 games  +7 =40 -8   -6 Elo +/- 48   613s      mean=0.491 LLR=-0.14 [CONTINUE]
  56 games  +7 =41 -8   -6 Elo +/- 47   626s      mean=0.491 LLR=-0.14 [CONTINUE]
  57 games  +7 =42 -8   -6 Elo +/- 47   627s      mean=0.491 LLR=-0.15 [CONTINUE]
  58 games  +7 =42 -9   -12 Elo +/- 47   643s      mean=0.483 LLR=-0.22 [CONTINUE]
  59 games  +7 =43 -9   -12 Elo +/- 46   650s      mean=0.483 LLR=-0.23 [CONTINUE]
  60 games  +7 =43 -10   -17 Elo +/- 47   660s      mean=0.475 LLR=-0.30 [CONTINUE]
  61 games  +8 =43 -10   -11 Elo +/- 48   671s      mean=0.484 LLR=-0.21 [CONTINUE]
  62 games  +8 =44 -10   -11 Elo +/- 47   674s      mean=0.484 LLR=-0.22 [CONTINUE]
  63 games  +8 =44 -11   -17 Elo +/- 47   691s      mean=0.476 LLR=-0.29 [CONTINUE]
  64 games  +8 =45 -11   -16 Elo +/- 47   697s      mean=0.477 LLR=-0.29 [CONTINUE]
  65 games  +8 =46 -11   -16 Elo +/- 46   703s      mean=0.477 LLR=-0.30 [CONTINUE]
  66 games  +8 =46 -12   -21 Elo +/- 46   721s      mean=0.470 LLR=-0.37 [CONTINUE]
  67 games  +8 =47 -12   -21 Elo +/- 46   726s      mean=0.470 LLR=-0.37 [CONTINUE]
  68 games  +8 =48 -12   -20 Elo +/- 45   731s      mean=0.471 LLR=-0.38 [CONTINUE]
  69 games  +8 =49 -12   -20 Elo +/- 44   746s      mean=0.471 LLR=-0.39 [CONTINUE]
  70 games  +8 =50 -12   -20 Elo +/- 44   752s      mean=0.471 LLR=-0.39 [CONTINUE]
  71 games  +8 =51 -12   -20 Elo +/- 43   762s      mean=0.472 LLR=-0.40 [CONTINUE]
  72 games  +8 =52 -12   -19 Elo +/- 42   773s      mean=0.472 LLR=-0.40 [CONTINUE]
  73 games  +9 =52 -12   -14 Elo +/- 43   782s      mean=0.479 LLR=-0.31 [CONTINUE]
  74 games  +9 =53 -12   -14 Elo +/- 42   792s      mean=0.480 LLR=-0.31 [CONTINUE]
  75 games  +9 =54 -12   -14 Elo +/- 42   797s      mean=0.480 LLR=-0.32 [CONTINUE]
  76 games  +9 =55 -12   -14 Elo +/- 41   805s      mean=0.480 LLR=-0.32 [CONTINUE]
  77 games  +9 =56 -12   -14 Elo +/- 41   820s      mean=0.481 LLR=-0.33 [CONTINUE]
  78 games  +10 =56 -12   -9 Elo +/- 41   821s      mean=0.487 LLR=-0.24 [CONTINUE]
  79 games  +10 =56 -13   -13 Elo +/- 41   833s      mean=0.481 LLR=-0.31 [CONTINUE]
  80 games  +10 =57 -13   -13 Elo +/- 41   850s      mean=0.481 LLR=-0.32 [CONTINUE]
  81 games  +10 =58 -13   -13 Elo +/- 40   856s      mean=0.481 LLR=-0.32 [CONTINUE]
  82 games  +10 =59 -13   -13 Elo +/- 40   857s      mean=0.482 LLR=-0.33 [CONTINUE]
  83 games  +10 =60 -13   -13 Elo +/- 39   878s      mean=0.482 LLR=-0.33 [CONTINUE]
  84 games  +10 =61 -13   -12 Elo +/- 39   884s      mean=0.482 LLR=-0.34 [CONTINUE]
  85 games  +10 =61 -14   -16 Elo +/- 39   887s      mean=0.476 LLR=-0.41 [CONTINUE]
  86 games  +10 =62 -14   -16 Elo +/- 39   908s      mean=0.477 LLR=-0.41 [CONTINUE]
  87 games  +10 =62 -15   -20 Elo +/- 39   914s      mean=0.471 LLR=-0.49 [CONTINUE]
  88 games  +10 =63 -15   -20 Elo +/- 39   915s      mean=0.472 LLR=-0.49 [CONTINUE]
  89 games  +10 =64 -15   -20 Elo +/- 38   937s      mean=0.472 LLR=-0.50 [CONTINUE]
  90 games  +10 =64 -16   -23 Elo +/- 39   941s      mean=0.467 LLR=-0.57 [CONTINUE]
  91 games  +10 =65 -16   -23 Elo +/- 38   942s      mean=0.467 LLR=-0.58 [CONTINUE]
  92 games  +10 =66 -16   -23 Elo +/- 38   967s      mean=0.467 LLR=-0.58 [CONTINUE]
  93 games  +10 =67 -16   -22 Elo +/- 37   969s      mean=0.468 LLR=-0.59 [CONTINUE]
  94 games  +10 =68 -16   -22 Elo +/- 37   973s      mean=0.468 LLR=-0.60 [CONTINUE]
  95 games  +10 =69 -16   -22 Elo +/- 37   994s      mean=0.468 LLR=-0.61 [CONTINUE]
  96 games  +10 =70 -16   -22 Elo +/- 36   997s      mean=0.469 LLR=-0.61 [CONTINUE]
  97 games  +10 =71 -16   -22 Elo +/- 36   1002s      mean=0.469 LLR=-0.62 [CONTINUE]
  98 games  +10 =72 -16   -21 Elo +/- 35   1022s      mean=0.469 LLR=-0.63 [CONTINUE]
  99 games  +10 =72 -17   -25 Elo +/- 36   1025s      mean=0.465 LLR=-0.70 [CONTINUE]
 100 games  +10 =73 -17   -24 Elo +/- 35   1026s      mean=0.465 LLR=-0.71 [CONTINUE]
 101 games  +11 =73 -17   -21 Elo +/- 36   1049s      mean=0.470 LLR=-0.60 [CONTINUE]
 102 games  +11 =74 -17   -20 Elo +/- 35   1053s      mean=0.471 LLR=-0.61 [CONTINUE]
 103 games  +11 =75 -17   -20 Elo +/- 35   1054s      mean=0.471 LLR=-0.62 [CONTINUE]
 104 games  +11 =76 -17   -20 Elo +/- 35   1076s      mean=0.471 LLR=-0.62 [CONTINUE]
 105 games  +11 =77 -17   -20 Elo +/- 34   1080s      mean=0.471 LLR=-0.63 [CONTINUE]
 106 games  +11 =77 -18   -23 Elo +/- 35   1086s      mean=0.467 LLR=-0.70 [CONTINUE]
 107 games  +11 =78 -18   -23 Elo +/- 34   1100s      mean=0.467 LLR=-0.71 [CONTINUE]
 108 games  +11 =79 -18   -23 Elo +/- 34   1108s      mean=0.468 LLR=-0.72 [CONTINUE]
 109 games  +11 =79 -19   -26 Elo +/- 34   1114s      mean=0.463 LLR=-0.79 [CONTINUE]
 110 games  +11 =80 -19   -25 Elo +/- 34   1127s      mean=0.464 LLR=-0.80 [CONTINUE]
 111 games  +11 =81 -19   -25 Elo +/- 34   1137s      mean=0.464 LLR=-0.81 [CONTINUE]
 112 games  +11 =82 -19   -25 Elo +/- 33   1143s      mean=0.464 LLR=-0.81 [CONTINUE]
 113 games  +11 =83 -19   -25 Elo +/- 33   1162s      mean=0.465 LLR=-0.82 [CONTINUE]
 114 games  +11 =84 -19   -24 Elo +/- 33   1164s      mean=0.465 LLR=-0.83 [CONTINUE]
 115 games  +11 =85 -19   -24 Elo +/- 32   1166s      mean=0.465 LLR=-0.84 [CONTINUE]
 116 games  +11 =86 -19   -24 Elo +/- 32   1187s      mean=0.466 LLR=-0.85 [CONTINUE]
 117 games  +11 =87 -19   -24 Elo +/- 32   1190s      mean=0.466 LLR=-0.85 [CONTINUE]
 118 games  +11 =88 -19   -24 Elo +/- 32   1199s      mean=0.466 LLR=-0.86 [CONTINUE]
 119 games  +11 =89 -19   -23 Elo +/- 31   1212s      mean=0.466 LLR=-0.87 [CONTINUE]
 120 games  +11 =90 -19   -23 Elo +/- 31   1218s      mean=0.467 LLR=-0.88 [CONTINUE]
 121 games  +11 =91 -19   -23 Elo +/- 31   1231s      mean=0.467 LLR=-0.89 [CONTINUE]
 122 games  +11 =92 -19   -23 Elo +/- 31   1240s      mean=0.467 LLR=-0.90 [CONTINUE]
 123 games  +11 =93 -19   -23 Elo +/- 30   1240s      mean=0.467 LLR=-0.90 [CONTINUE]
 124 games  +11 =93 -20   -25 Elo +/- 30   1263s      mean=0.464 LLR=-0.98 [CONTINUE]
 125 games  +11 =94 -20   -25 Elo +/- 30   1265s      mean=0.464 LLR=-0.99 [CONTINUE]
 126 games  +12 =94 -20   -22 Elo +/- 31   1270s      mean=0.468 LLR=-0.87 [CONTINUE]
 127 games  +12 =95 -20   -22 Elo +/- 30   1290s      mean=0.469 LLR=-0.88 [CONTINUE]
 128 games  +12 =96 -20   -22 Elo +/- 30   1294s      mean=0.469 LLR=-0.89 [CONTINUE]
 129 games  +12 =97 -20   -22 Elo +/- 30   1296s      mean=0.469 LLR=-0.89 [CONTINUE]
 130 games  +12 =97 -21   -24 Elo +/- 30   1321s      mean=0.465 LLR=-0.97 [CONTINUE]
 131 games  +12 =98 -21   -24 Elo +/- 30   1322s      mean=0.466 LLR=-0.98 [CONTINUE]
 132 games  +13 =98 -21   -21 Elo +/- 30   1323s      mean=0.470 LLR=-0.86 [CONTINUE]
 133 games  +13 =99 -21   -21 Elo +/- 30   1346s      mean=0.470 LLR=-0.87 [CONTINUE]
 134 games  +13 =100 -21   -21 Elo +/- 30   1346s      mean=0.470 LLR=-0.88 [CONTINUE]
 135 games  +13 =100 -22   -23 Elo +/- 30   1348s      mean=0.467 LLR=-0.95 [CONTINUE]
 136 games  +13 =100 -23   -26 Elo +/- 30   1373s      mean=0.463 LLR=-1.03 [CONTINUE]
 137 games  +13 =101 -23   -25 Elo +/- 30   1373s      mean=0.464 LLR=-1.04 [CONTINUE]
 138 games  +13 =102 -23   -25 Elo +/- 30   1375s      mean=0.464 LLR=-1.04 [CONTINUE]
 139 games  +13 =103 -23   -25 Elo +/- 29   1401s      mean=0.464 LLR=-1.05 [CONTINUE]
 140 games  +13 =104 -23   -25 Elo +/- 29   1402s      mean=0.464 LLR=-1.06 [CONTINUE]
 141 games  +14 =104 -23   -22 Elo +/- 29   1403s      mean=0.468 LLR=-0.95 [CONTINUE]
 142 games  +14 =105 -23   -22 Elo +/- 29   1428s      mean=0.468 LLR=-0.95 [CONTINUE]
 143 games  +14 =106 -23   -22 Elo +/- 29   1428s      mean=0.469 LLR=-0.96 [CONTINUE]
 144 games  +14 =107 -23   -22 Elo +/- 29   1429s      mean=0.469 LLR=-0.97 [CONTINUE]
 145 games  +14 =108 -23   -22 Elo +/- 29   1450s      mean=0.469 LLR=-0.98 [CONTINUE]
 146 games  +14 =109 -23   -21 Elo +/- 28   1451s      mean=0.469 LLR=-0.99 [CONTINUE]
 147 games  +14 =110 -23   -21 Elo +/- 28   1462s      mean=0.469 LLR=-0.99 [CONTINUE]
 148 games  +14 =111 -23   -21 Elo +/- 28   1477s      mean=0.470 LLR=-1.00 [CONTINUE]
 149 games  +14 =111 -24   -23 Elo +/- 28   1486s      mean=0.466 LLR=-1.08 [CONTINUE]
 150 games  +14 =112 -24   -23 Elo +/- 28   1490s      mean=0.467 LLR=-1.08 [CONTINUE]
 151 games  +14 =113 -24   -23 Elo +/- 28   1503s      mean=0.467 LLR=-1.09 [CONTINUE]
 152 games  +14 =114 -24   -23 Elo +/- 28   1507s      mean=0.467 LLR=-1.10 [CONTINUE]
 153 games  +14 =115 -24   -23 Elo +/- 27   1515s      mean=0.467 LLR=-1.11 [CONTINUE]
 154 games  +14 =116 -24   -23 Elo +/- 27   1529s      mean=0.468 LLR=-1.12 [CONTINUE]
 155 games  +14 =117 -24   -22 Elo +/- 27   1532s      mean=0.468 LLR=-1.13 [CONTINUE]
 156 games  +14 =118 -24   -22 Elo +/- 27   1544s      mean=0.468 LLR=-1.13 [CONTINUE]
 157 games  +14 =119 -24   -22 Elo +/- 27   1550s      mean=0.468 LLR=-1.14 [CONTINUE]
 158 games  +14 =120 -24   -22 Elo +/- 27   1557s      mean=0.468 LLR=-1.15 [CONTINUE]
 159 games  +14 =121 -24   -22 Elo +/- 26   1570s      mean=0.469 LLR=-1.16 [CONTINUE]
 160 games  +14 =121 -25   -24 Elo +/- 26   1580s      mean=0.466 LLR=-1.24 [CONTINUE]
 161 games  +14 =122 -25   -24 Elo +/- 26   1586s      mean=0.466 LLR=-1.25 [CONTINUE]
 162 games  +15 =122 -25   -21 Elo +/- 27   1594s      mean=0.469 LLR=-1.12 [CONTINUE]
 163 games  +15 =123 -25   -21 Elo +/- 26   1613s      mean=0.469 LLR=-1.13 [CONTINUE]
 164 games  +15 =123 -26   -23 Elo +/- 27   1614s      mean=0.466 LLR=-1.21 [CONTINUE]
 165 games  +15 =124 -26   -23 Elo +/- 26   1627s      mean=0.467 LLR=-1.22 [CONTINUE]
 166 games  +15 =125 -26   -23 Elo +/- 26   1636s      mean=0.467 LLR=-1.23 [CONTINUE]
 167 games  +15 =126 -26   -23 Elo +/- 26   1640s      mean=0.467 LLR=-1.23 [CONTINUE]
 168 games  +15 =127 -26   -23 Elo +/- 26   1657s      mean=0.467 LLR=-1.24 [CONTINUE]
 169 games  +15 =128 -26   -23 Elo +/- 26   1663s      mean=0.467 LLR=-1.25 [CONTINUE]
 170 games  +15 =129 -26   -23 Elo +/- 26   1674s      mean=0.468 LLR=-1.26 [CONTINUE]
 171 games  +16 =129 -26   -20 Elo +/- 26   1685s      mean=0.471 LLR=-1.14 [CONTINUE]
 172 games  +16 =130 -26   -20 Elo +/- 26   1691s      mean=0.471 LLR=-1.15 [CONTINUE]
 173 games  +16 =131 -26   -20 Elo +/- 25   1700s      mean=0.471 LLR=-1.15 [CONTINUE]
 174 games  +16 =132 -26   -20 Elo +/- 25   1710s      mean=0.471 LLR=-1.16 [CONTINUE]
 175 games  +17 =132 -26   -18 Elo +/- 25   1723s      mean=0.474 LLR=-1.04 [CONTINUE]
 176 games  +17 =133 -26   -18 Elo +/- 25   1726s      mean=0.474 LLR=-1.05 [CONTINUE]
 177 games  +17 =134 -26   -18 Elo +/- 25   1734s      mean=0.475 LLR=-1.06 [CONTINUE]
 178 games  +17 =135 -26   -18 Elo +/- 25   1748s      mean=0.475 LLR=-1.06 [CONTINUE]
 179 games  +17 =136 -26   -17 Elo +/- 25   1749s      mean=0.475 LLR=-1.07 [CONTINUE]
 180 games  +18 =136 -26   -15 Elo +/- 25   1764s      mean=0.478 LLR=-0.96 [CONTINUE]
 181 games  +18 =137 -26   -15 Elo +/- 25   1776s      mean=0.478 LLR=-0.96 [CONTINUE]
 182 games  +18 =138 -26   -15 Elo +/- 25   1780s      mean=0.478 LLR=-0.97 [CONTINUE]
 183 games  +18 =139 -26   -15 Elo +/- 25   1789s      mean=0.478 LLR=-0.98 [CONTINUE]
 184 games  +18 =140 -26   -15 Elo +/- 25   1804s      mean=0.478 LLR=-0.98 [CONTINUE]
 185 games  +18 =141 -26   -15 Elo +/- 24   1811s      mean=0.478 LLR=-0.99 [CONTINUE]
 186 games  +19 =141 -26   -13 Elo +/- 25   1819s      mean=0.481 LLR=-0.87 [CONTINUE]
 187 games  +19 =142 -26   -13 Elo +/- 24   1831s      mean=0.481 LLR=-0.88 [CONTINUE]
 188 games  +19 =143 -26   -13 Elo +/- 24   1836s      mean=0.481 LLR=-0.89 [CONTINUE]
 189 games  +19 =144 -26   -13 Elo +/- 24   1843s      mean=0.481 LLR=-0.89 [CONTINUE]
 190 games  +20 =144 -26   -11 Elo +/- 24   1863s      mean=0.484 LLR=-0.78 [CONTINUE]
 191 games  +20 =145 -26   -11 Elo +/- 24   1866s      mean=0.484 LLR=-0.79 [CONTINUE]
 192 games  +20 =146 -26   -11 Elo +/- 24   1868s      mean=0.484 LLR=-0.79 [CONTINUE]
 193 games  +20 =147 -26   -11 Elo +/- 24   1889s      mean=0.484 LLR=-0.80 [CONTINUE]
 194 games  +20 =148 -26   -11 Elo +/- 24   1896s      mean=0.485 LLR=-0.80 [CONTINUE]
 195 games  +20 =149 -26   -11 Elo +/- 24   1896s      mean=0.485 LLR=-0.81 [CONTINUE]
 196 games  +20 =150 -26   -11 Elo +/- 24   1915s      mean=0.485 LLR=-0.81 [CONTINUE]
 197 games  +20 =151 -26   -11 Elo +/- 23   1918s      mean=0.485 LLR=-0.82 [CONTINUE]
 198 games  +21 =151 -26   -9 Elo +/- 24   1926s      mean=0.487 LLR=-0.71 [CONTINUE]
 199 games  +21 =151 -27   -10 Elo +/- 24   1944s      mean=0.485 LLR=-0.79 [CONTINUE]
 200 games  +21 =152 -27   -10 Elo +/- 24   1947s      mean=0.485 LLR=-0.80 [CONTINUE]
 201 games  +21 =153 -27   -10 Elo +/- 23   1950s      mean=0.485 LLR=-0.80 [CONTINUE]
 202 games  +21 =154 -27   -10 Elo +/- 23   1970s      mean=0.485 LLR=-0.81 [CONTINUE]
 203 games  +21 =155 -27   -10 Elo +/- 23   1973s      mean=0.485 LLR=-0.81 [CONTINUE]
 204 games  +22 =155 -27   -9 Elo +/- 23   1979s      mean=0.488 LLR=-0.71 [CONTINUE]
 205 games  +22 =156 -27   -8 Elo +/- 23   1999s      mean=0.488 LLR=-0.71 [CONTINUE]
 206 games  +23 =156 -27   -7 Elo +/- 23   2003s      mean=0.490 LLR=-0.61 [CONTINUE]
 207 games  +23 =157 -27   -7 Elo +/- 23   2005s      mean=0.490 LLR=-0.61 [CONTINUE]
 208 games  +24 =157 -27   -5 Elo +/- 23   2025s      mean=0.493 LLR=-0.51 [CONTINUE]
 209 games  +24 =158 -27   -5 Elo +/- 23   2030s      mean=0.493 LLR=-0.51 [CONTINUE]
 210 games  +25 =158 -27   -3 Elo +/- 23   2034s      mean=0.495 LLR=-0.41 [CONTINUE]
 211 games  +26 =158 -27   -2 Elo +/- 24   2053s      mean=0.498 LLR=-0.31 [CONTINUE]
 212 games  +26 =159 -27   -2 Elo +/- 23   2056s      mean=0.498 LLR=-0.32 [CONTINUE]
 213 games  +26 =160 -27   -2 Elo +/- 23   2057s      mean=0.498 LLR=-0.32 [CONTINUE]
 214 games  +26 =161 -27   -2 Elo +/- 23   2079s      mean=0.498 LLR=-0.32 [CONTINUE]
 215 games  +26 =162 -27   -2 Elo +/- 23   2080s      mean=0.498 LLR=-0.32 [CONTINUE]
 216 games  +26 =163 -27   -2 Elo +/- 23   2083s      mean=0.498 LLR=-0.33 [CONTINUE]
 217 games  +26 =164 -27   -2 Elo +/- 23   2107s      mean=0.498 LLR=-0.33 [CONTINUE]
 218 games  +26 =165 -27   -2 Elo +/- 23   2111s      mean=0.498 LLR=-0.33 [CONTINUE]
 219 games  +27 =165 -27   -0 Elo +/- 23   2119s      mean=0.500 LLR=-0.24 [CONTINUE]
 220 games  +27 =166 -27   -0 Elo +/- 23   2128s      mean=0.500 LLR=-0.24 [CONTINUE]
 221 games  +27 =166 -28   -2 Elo +/- 23   2140s      mean=0.498 LLR=-0.33 [CONTINUE]
 222 games  +27 =167 -28   -2 Elo +/- 23   2141s      mean=0.498 LLR=-0.33 [CONTINUE]
 223 games  +27 =168 -28   -2 Elo +/- 23   2150s      mean=0.498 LLR=-0.33 [CONTINUE]
 224 games  +27 =169 -28   -2 Elo +/- 23   2167s      mean=0.498 LLR=-0.34 [CONTINUE]
 225 games  +28 =169 -28   -0 Elo +/- 23   2172s      mean=0.500 LLR=-0.24 [CONTINUE]
 226 games  +28 =170 -28   -0 Elo +/- 23   2178s      mean=0.500 LLR=-0.24 [CONTINUE]
 227 games  +28 =171 -28   -0 Elo +/- 22   2194s      mean=0.500 LLR=-0.24 [CONTINUE]
 228 games  +28 =172 -28   -0 Elo +/- 22   2202s      mean=0.500 LLR=-0.25 [CONTINUE]
 229 games  +28 =173 -28   -0 Elo +/- 22   2205s      mean=0.500 LLR=-0.25 [CONTINUE]
 230 games  +28 =173 -29   -2 Elo +/- 22   2226s      mean=0.498 LLR=-0.34 [CONTINUE]
 231 games  +28 =174 -29   -2 Elo +/- 22   2229s      mean=0.498 LLR=-0.34 [CONTINUE]
 232 games  +28 =175 -29   -1 Elo +/- 22   2230s      mean=0.498 LLR=-0.34 [CONTINUE]
 233 games  +28 =176 -29   -1 Elo +/- 22   2254s      mean=0.498 LLR=-0.35 [CONTINUE]
 234 games  +29 =176 -29   -0 Elo +/- 22   2255s      mean=0.500 LLR=-0.25 [CONTINUE]
 235 games  +29 =177 -29   -0 Elo +/- 22   2258s      mean=0.500 LLR=-0.25 [CONTINUE]
 236 games  +29 =178 -29   -0 Elo +/- 22   2283s      mean=0.500 LLR=-0.25 [CONTINUE]
 237 games  +29 =179 -29   -0 Elo +/- 22   2283s      mean=0.500 LLR=-0.26 [CONTINUE]
 238 games  +29 =179 -30   -1 Elo +/- 22   2290s      mean=0.498 LLR=-0.35 [CONTINUE]
 239 games  +29 =180 -30   -1 Elo +/- 22   2312s      mean=0.498 LLR=-0.35 [CONTINUE]
 240 games  +29 =181 -30   -1 Elo +/- 22   2313s      mean=0.498 LLR=-0.35 [CONTINUE]
 241 games  +29 =181 -31   -3 Elo +/- 22   2320s      mean=0.496 LLR=-0.44 [CONTINUE]
 242 games  +29 =182 -31   -3 Elo +/- 22   2339s      mean=0.496 LLR=-0.44 [CONTINUE]
 243 games  +29 =182 -32   -4 Elo +/- 22   2340s      mean=0.494 LLR=-0.53 [CONTINUE]
 244 games  +30 =182 -32   -3 Elo +/- 22   2345s      mean=0.496 LLR=-0.44 [CONTINUE]
 245 games  +30 =183 -32   -3 Elo +/- 22   2367s      mean=0.496 LLR=-0.44 [CONTINUE]
 246 games  +30 =184 -32   -3 Elo +/- 22   2368s      mean=0.496 LLR=-0.44 [CONTINUE]
 247 games  +30 =184 -33   -4 Elo +/- 22   2369s      mean=0.494 LLR=-0.53 [CONTINUE]
 248 games  +30 =185 -33   -4 Elo +/- 22   2395s      mean=0.494 LLR=-0.53 [CONTINUE]
 249 games  +30 =185 -34   -6 Elo +/- 22   2396s      mean=0.492 LLR=-0.62 [CONTINUE]
 250 games  +31 =185 -34   -4 Elo +/- 22   2399s      mean=0.494 LLR=-0.52 [CONTINUE]
 251 games  +31 =186 -34   -4 Elo +/- 22   2418s      mean=0.494 LLR=-0.52 [CONTINUE]
 252 games  +31 =187 -34   -4 Elo +/- 22   2426s      mean=0.494 LLR=-0.53 [CONTINUE]
