teams: 200
  team 1/200  games=22  distinct FENs=22
  team 175/200  games=3711  distinct FENs=308
  team 176/200  games=3733  distinct FENs=308
  team 177/200  games=3755  distinct FENs=308
  team 178/200  games=3777  distinct FENs=308
  team 179/200  games=3799  distinct FENs=308
  team 180/200  games=3821  distinct FENs=308
  team 181/200  games=3843  distinct FENs=308
  team 182/200  games=3865  distinct FENs=308
  team 183/200  games=3887  distinct FENs=308
  team 184/200  games=3890  distinct FENs=308
  team 185/200  games=3912  distinct FENs=308
  team 186/200  games=3934  distinct FENs=308
  team 187/200  games=3956  distinct FENs=308
  team 188/200  games=3978  distinct FENs=308
  team 189/200  games=3992  distinct FENs=308
  team 190/200  games=4014  distinct FENs=308
  team 191/200  games=4036  distinct FENs=308
  team 192/200  games=4058  distinct FENs=308
  team 193/200  games=4080  distinct FENs=308
  team 194/200  games=4102  distinct FENs=308
  team 195/200  games=4124  distinct FENs=308
  team 196/200  games=4146  distinct FENs=308
  team 197/200  games=4168  distinct FENs=308
  team 198/200  games=4190  distinct FENs=308
  team 199/200  games=4212  distinct FENs=308
  team 200/200  games=4234  distinct FENs=308

=== POSITION POOL ===
games sampled      : 4234
distinct start FENs: 308
reuse rate         : 13.75 games per position
most common positions:
  x30  rnbqk2r/ppp2ppp/3b4/3p4/2PPn3/5N2/PP2BPPP/RNBQK2R b KQkq -
  x28  r1bqk2r/1p2ppbp/p1np1np1/2p5/P3P3/2NPB1P1/1PP2PBP/R2QK1NR w KQkq -
  x28  r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N1B3/PPP2PPP/R2QKB1R b KQkq -
  x27  r1bq1rk1/ppp1bppp/2np1n2/4p3/P1B1P3/2NP1N2/1PP2PPP/R1BQ1RK1 b - -
  x27  r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB4/PP2NPPP/RNBQK2R b KQkq -
  x27  r1bqk2r/ppp2pp1/2np1n1p/2b1p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 b kq -
  x27  r1bqk2r/pppp1ppp/2n2n2/1B6/1b1NP3/2P5/PP3PPP/RNBQK2R b KQkq -
  x25  rnbqk1nr/bp3ppp/p7/3p4/P7/1N6/1PP2PPP/R1BQKBNR w KQkq -

distinct FENs within a single round (1 would mean one position per round):
  round ?    308 distinct
